Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
25,Samuel Adeniran,16,us USA,FW,24-330,77,14,1,1,6,7,0,14,2,1,50,1,50,9,59,32,2,1,0,3,0,9,3
25,Klauss,9,br BRA,FW,26-178,13,7,0,0,2,5,0,7,0,0,0,0,0,2,7,0,0,0,0,0,0,6,1
25,Nicholas Gioacchini,11,us USA,FW,23-032,45,18,1,2,6,11,4,18,1,0,0,1,100,10,57,36,0,0,0,3,0,13,5
25,Nokkvi Thorisson,29,is ISL,FW,24-013,45,22,1,4,7,11,2,22,2,0,0,1,50,8,20,3,0,0,0,4,0,13,2
25,Aziel Jackson,25,fr FRA,AM,21-306,77,26,0,1,16,9,0,26,1,0,0,1,100,16,110,44,2,1,0,0,2,23,3
25,Rasmus Alm,21,se SWE,AM,28-009,13,3,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Eduard Lowen,10,de GER,LM,26-210,90,61,2,19,28,17,1,61,4,1,25,2,50,33,231,69,1,2,0,1,0,41,2
25,Indiana Vassilev,19,us USA,RM,22-191,90,36,0,3,24,9,0,36,2,0,0,2,100,21,160,98,2,1,0,0,0,24,0
25,Akil Watts,20,us USA,DM,23-203,71,38,0,4,30,5,0,38,1,1,100,0,0,19,138,55,1,2,0,0,1,28,1
25,Jared Stroud,8,us USA,DM,27-047,19,5,0,0,1,4,1,5,0,0,0,0,0,4,10,5,0,1,0,0,0,5,2
25,Kyle Hiebert,22,ca CAN,"LB,CB",26-027,90,46,4,19,23,4,0,46,0,0,0,0,0,15,46,22,0,1,0,1,0,21,1
25,Joakim Nilsson,4,se SWE,CB,29-201,71,35,5,23,12,1,0,35,0,0,0,0,0,10,40,22,0,0,0,1,0,20,0
25,Anthony Markanich,13,us USA,LB,23-243,19,13,0,1,6,6,1,13,0,0,0,0,0,2,4,2,0,0,0,0,0,6,1
25,Joshua Yaro,15,gh GHA,CB,28-281,90,36,5,27,8,1,0,36,0,0,0,0,0,17,60,22,0,0,0,0,0,20,0
25,Jake Nerwinski,2,us USA,RB,28-313,89,45,2,19,16,10,0,45,0,0,0,0,0,19,63,23,1,1,0,0,0,23,2
25,Roman Burki,1,ch SUI,GK,32-285,90,45,29,45,0,0,0,45,0,0,0,0,0,25,138,47,0,0,0,0,0,21,0
