Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
3,Klauss,9,br BRA,FW,26-010,90,2,0,1,1,0,2,3,66.7,1,1,0,1,0,2,0,0
3,Jared Stroud,8,us USA,LW,26-244,65,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
3,Celio Pompeu,12,br BRA,"LW,LB",23-091,25,1,1,0,1,0,0,4,0,4,2,0,2,0,1,0,0
3,Rasmus Alm,21,se SWE,RW,27-206,71,3,3,0,2,1,0,0,0,0,2,0,2,0,3,0,0
3,Nicholas Gioacchini,11,us USA,"RW,FW",22-229,19,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,Eduard Lowen,10,de GER,"AM,CM",26-042,90,1,0,1,0,0,1,1,100,0,3,0,3,1,2,1,0
3,Miguel Perez,28,us USA,DM,17-317,65,3,2,3,0,0,3,5,60,2,1,0,1,2,5,1,0
3,Tomas Ostrak,7,cz CZE,"DM,CM",23-034,25,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0
3,Indiana Vassilev,19,us USA,DM,22-023,71,4,3,1,3,0,2,3,66.7,1,1,0,1,0,4,0,0
3,Akil Watts,20,us USA,"DM,CM",23-035,19,2,1,0,2,0,1,1,100,0,0,0,0,1,3,0,0
3,John Nelson,14,us USA,LB,24-243,85,5,4,2,3,0,3,4,75,1,1,0,1,2,7,6,0
3,Lucas Bartlett,24,us USA,CB,25-228,5,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0
3,Kyle Hiebert,22,ca CAN,CB,25-224,90,0,0,0,0,0,0,3,0,3,2,1,1,3,3,5,0
3,Tim Parker,26,us USA,CB,30-016,90,1,0,1,0,0,1,1,100,0,0,0,0,1,2,8,0
3,Jake Nerwinski,2,us USA,RB,28-145,90,2,2,1,0,1,1,2,50,1,3,0,3,4,6,1,0
3,Roman Burki,1,ch SUI,GK,32-117,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
