Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
3,Klauss,9,br BRA,FW,26-010,90,36,0,4,14,18,5,36,3,2,66.7,1,33.3,23,93,27,1,1,1,2,0,27,5
3,Jared Stroud,8,us USA,LW,26-244,65,29,0,3,16,10,3,29,2,2,100,0,0,23,126,60,2,0,0,3,1,21,5
3,Celio Pompeu,12,br BRA,"LW,LB",23-091,25,8,0,0,5,3,0,8,1,1,100,0,0,4,19,5,1,0,0,0,0,4,1
3,Rasmus Alm,21,se SWE,RW,27-206,71,30,0,4,12,14,2,30,0,0,0,0,0,19,118,63,3,2,1,0,0,23,8
3,Nicholas Gioacchini,11,us USA,"RW,FW",22-229,19,14,1,2,3,9,1,14,1,0,0,0,0,11,44,14,1,0,0,4,0,12,4
3,Eduard Lowen,10,de GER,"AM,CM",26-042,90,61,2,8,36,18,0,61,7,4,57.1,2,28.6,30,159,68,2,2,0,7,2,33,8
3,Miguel Perez,28,us USA,DM,17-317,65,41,2,15,23,3,1,41,1,1,100,0,0,26,96,33,0,0,0,1,0,23,0
3,Tomas Ostrak,7,cz CZE,"DM,CM",23-034,25,12,0,5,2,5,1,12,1,0,0,1,100,7,40,22,1,0,1,0,1,6,0
3,Indiana Vassilev,19,us USA,DM,22-023,71,46,0,10,29,9,0,46,2,0,0,0,0,32,152,41,1,1,0,1,1,28,0
3,Akil Watts,20,us USA,"DM,CM",23-035,19,10,0,3,7,1,0,10,0,0,0,0,0,4,14,0,0,0,0,1,0,1,0
3,John Nelson,14,us USA,LB,24-243,85,49,4,19,26,4,0,49,0,0,0,0,0,16,49,12,0,0,0,2,0,13,2
3,Lucas Bartlett,24,us USA,CB,25-228,5,6,2,3,3,0,0,6,0,0,0,0,0,2,6,2,0,0,0,0,0,1,0
3,Kyle Hiebert,22,ca CAN,CB,25-224,90,65,8,42,22,2,1,65,0,0,0,0,0,35,213,79,2,1,0,0,1,30,1
3,Tim Parker,26,us USA,CB,30-016,90,51,9,31,20,0,0,51,0,0,0,0,0,21,77,21,0,0,0,1,0,23,0
3,Jake Nerwinski,2,us USA,RB,28-145,90,67,2,28,29,12,0,67,3,2,66.7,0,0,36,184,98,1,3,0,1,1,34,3
3,Roman Burki,1,ch SUI,GK,32-117,90,44,33,44,0,0,0,44,0,0,0,0,0,22,112,57,0,0,0,0,0,18,0
