Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
10,Eduard Lowen,10,de GER,"FW,CM",26-091,90,36,58,62.1,546,117,20,25,80,13,16,81.3,2,11,18.2,0,0.1,0,1,3,0,0,8
10,Nicholas Gioacchini,11,us USA,FW,22-278,66,9,15,60,130,22,8,11,72.7,0,1,0,1,1,100,0,0,0,0,0,0,0,0
10,Aziel Jackson,25,fr FRA,"FW,RM",21-187,24,10,15,66.7,142,48,7,7,100,2,5,40,1,1,100,0,0,0,0,0,0,0,1
10,Jared Stroud,8,us USA,LM,26-293,66,20,27,74.1,270,95,11,13,84.6,8,10,80,0,1,0,0,0,0.1,0,1,1,1,1
10,Celio Pompeu,12,br BRA,"LM,FW",23-140,24,8,13,61.5,80,14,6,7,85.7,1,1,100,0,1,0,0,0,0,0,0,0,0,1
10,Miguel Perez,28,us USA,CM,18-001,54,21,26,80.8,290,165,12,15,80,8,9,88.9,0,0,0,0,0.1,0,1,5,1,0,3
10,Tomas Ostrak,7,cz CZE,FW,23-083,36,12,15,80,125,25,10,12,83.3,1,2,50,0,0,0,1,0.3,0.2,2,1,1,0,3
10,Indiana Vassilev,19,us USA,CM,22-072,90,27,35,77.1,604,171,9,10,90,10,13,76.9,7,10,70,0,0.3,0.1,1,8,0,0,4
10,Rasmus Alm,21,se SWE,RM,27-255,82,11,17,64.7,162,59,5,7,71.4,4,5,80,1,4,25,0,0,0.1,1,3,1,0,3
10,Isak Jensen,30,dk DEN,LM,19-127,8,6,7,85.7,60,15,5,5,100,1,2,50,0,0,0,0,0,0,0,0,1,0,1
10,John Nelson,14,us USA,LB,24-292,90,47,61,77,731,351,34,38,89.5,8,14,57.1,5,8,62.5,0,0,0,0,4,0,0,8
10,Kyle Hiebert,22,ca CAN,CB,25-273,90,40,55,72.7,770,378,15,21,71.4,21,24,87.5,3,9,33.3,0,0,0,0,4,0,0,8
10,Tim Parker,26,us USA,CB,30-065,90,30,38,78.9,601,300,12,15,80,14,18,77.8,4,5,80,0,0,0,0,2,0,0,1
10,Jake Nerwinski,2,us USA,RB,28-194,82,24,35,68.6,385,201,15,17,88.2,6,10,60,3,8,37.5,0,0,0,0,3,0,0,2
10,Akil Watts,20,us USA,RB,23-084,8,7,10,70,69,29,6,7,85.7,0,1,0,0,1,0,0,0,0,0,0,0,0,1
10,Roman Burki,1,ch SUI,GK,32-166,90,20,32,62.5,586,462,6,6,100,5,5,100,8,20,40,0,0,0,0,1,1,0,0
