Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
10,Eduard Lowen,10,de GER,"FW,CM",26-091,90,1,1,0,0,1,1,3,33.3,2,3,0,3,0,1,0,0
10,Nicholas Gioacchini,11,us USA,FW,22-278,66,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
10,Aziel Jackson,25,fr FRA,"FW,RM",21-187,24,1,0,0,0,1,0,1,0,1,2,0,2,0,1,0,0
10,Jared Stroud,8,us USA,LM,26-293,66,2,1,1,1,0,0,0,0,0,1,0,1,1,3,0,0
10,Celio Pompeu,12,br BRA,"LM,FW",23-140,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,Miguel Perez,28,us USA,CM,18-001,54,2,0,2,0,0,1,1,100,0,0,0,0,1,3,1,0
10,Tomas Ostrak,7,cz CZE,FW,23-083,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Indiana Vassilev,19,us USA,CM,22-072,90,0,0,0,0,0,0,1,0,1,4,1,3,1,1,1,0
10,Rasmus Alm,21,se SWE,RM,27-255,82,1,1,1,0,0,1,2,50,1,0,0,0,0,1,0,0
10,Isak Jensen,30,dk DEN,LM,19-127,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,John Nelson,14,us USA,LB,24-292,90,2,1,1,1,0,0,4,0,4,1,0,1,1,3,5,0
10,Kyle Hiebert,22,ca CAN,CB,25-273,90,1,0,1,0,0,1,2,50,1,1,0,1,2,3,8,0
10,Tim Parker,26,us USA,CB,30-065,90,0,0,0,0,0,0,1,0,1,1,0,1,1,1,6,0
10,Jake Nerwinski,2,us USA,RB,28-194,82,1,0,0,1,0,1,1,100,0,0,0,0,0,1,4,0
10,Akil Watts,20,us USA,RB,23-084,8,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
10,Roman Burki,1,ch SUI,GK,32-166,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
