Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
10,Eduard Lowen,10,de GER,"FW,CM",26-091,90,58,50,6,5,1,1,5,0,0,0,0,0,36,2,2
10,Nicholas Gioacchini,11,us USA,FW,22-278,66,15,13,2,0,0,0,0,1,0,0,0,0,9,0,0
10,Aziel Jackson,25,fr FRA,"FW,RM",21-187,24,15,14,1,1,0,0,2,0,0,0,0,0,10,0,1
10,Jared Stroud,8,us USA,LM,26-293,66,27,27,0,0,0,0,3,0,0,0,0,0,20,0,0
10,Celio Pompeu,12,br BRA,"LM,FW",23-140,24,13,11,1,0,0,0,2,0,0,0,0,0,8,1,1
10,Miguel Perez,28,us USA,CM,18-001,54,26,26,0,0,0,0,0,0,0,0,0,0,21,0,0
10,Tomas Ostrak,7,cz CZE,FW,23-083,36,15,15,0,0,0,0,0,0,0,0,0,0,12,0,0
10,Indiana Vassilev,19,us USA,CM,22-072,90,35,32,3,1,0,0,4,0,2,1,1,0,27,0,0
10,Rasmus Alm,21,se SWE,RM,27-255,82,17,17,0,0,0,0,2,0,0,0,0,0,11,0,0
10,Isak Jensen,30,dk DEN,LM,19-127,8,7,7,0,0,0,0,1,0,0,0,0,0,6,0,0
10,John Nelson,14,us USA,LB,24-292,90,61,46,15,0,0,1,2,15,0,0,0,0,47,0,0
10,Kyle Hiebert,22,ca CAN,CB,25-273,90,55,53,2,2,0,0,0,0,0,0,0,0,40,0,0
10,Tim Parker,26,us USA,CB,30-065,90,38,36,2,2,0,0,0,0,0,0,0,0,30,0,0
10,Jake Nerwinski,2,us USA,RB,28-194,82,35,29,6,0,0,0,2,6,0,0,0,0,24,0,0
10,Akil Watts,20,us USA,RB,23-084,8,10,7,3,0,0,0,2,3,0,0,0,0,7,0,0
10,Roman Burki,1,ch SUI,GK,32-166,90,32,20,12,2,0,0,0,0,0,0,0,0,20,0,0
