Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
10,Eduard Lowen,10,de GER,"FW,CM",26-091,90,72,1,7,35,32,1,72,5,2,40,1,20,36,242,132,4,2,0,1,3,50,7
10,Nicholas Gioacchini,11,us USA,FW,22-278,66,18,1,2,10,6,0,18,1,0,0,0,0,9,54,10,0,1,0,1,2,16,2
10,Aziel Jackson,25,fr FRA,"FW,RM",21-187,24,19,0,3,7,11,3,19,2,2,100,0,0,11,104,79,2,2,2,1,0,10,3
10,Jared Stroud,8,us USA,LM,26-293,66,38,0,6,18,15,2,38,0,0,0,0,0,21,193,77,3,2,0,6,3,25,3
10,Celio Pompeu,12,br BRA,"LM,FW",23-140,24,17,0,0,2,15,3,17,0,0,0,0,0,11,71,38,3,0,1,1,2,12,4
10,Miguel Perez,28,us USA,CM,18-001,54,43,1,7,30,6,0,43,0,0,0,0,0,13,47,12,0,0,0,3,1,18,1
10,Tomas Ostrak,7,cz CZE,FW,23-083,36,21,0,0,9,13,1,21,3,2,66.7,1,33.3,13,63,39,2,1,0,2,1,17,4
10,Indiana Vassilev,19,us USA,CM,22-072,90,48,1,5,31,14,0,48,5,4,80,1,20,24,197,65,2,4,0,2,2,26,1
10,Rasmus Alm,21,se SWE,RM,27-255,82,21,0,2,11,9,1,21,0,0,0,0,0,10,33,16,0,0,0,2,0,16,2
10,Isak Jensen,30,dk DEN,LM,19-127,8,7,0,0,1,6,0,7,0,0,0,0,0,6,23,14,1,0,0,0,0,7,2
10,John Nelson,14,us USA,LB,24-292,90,75,4,16,32,27,1,75,1,0,0,1,100,30,151,91,1,3,0,1,0,36,12
10,Kyle Hiebert,22,ca CAN,CB,25-273,90,72,15,37,35,1,1,72,0,0,0,0,0,24,165,119,0,0,0,0,0,32,0
10,Tim Parker,26,us USA,CB,30-065,90,49,7,28,20,1,1,49,1,0,0,1,100,22,101,54,1,0,0,1,0,27,0
10,Jake Nerwinski,2,us USA,RB,28-194,82,43,4,17,18,9,0,43,3,1,33.3,2,66.7,16,103,47,1,0,0,0,0,20,3
10,Akil Watts,20,us USA,RB,23-084,8,11,0,2,2,7,0,11,0,0,0,0,0,4,32,21,1,0,0,0,0,6,1
10,Roman Burki,1,ch SUI,GK,32-166,90,34,28,34,0,0,0,34,0,0,0,0,0,13,85,55,0,0,0,0,0,10,0
