Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
5,Klauss,9,br BRA,FW,26-024,90,42,4,6,17,20,9,42,3,1,33.3,1,33.3,23,64,21,0,2,0,3,1,29,9
5,Nicholas Gioacchini,11,us USA,FW,22-243,85,35,0,4,16,15,5,35,2,2,100,0,0,21,90,39,1,1,0,4,5,31,4
5,Celio Pompeu,12,br BRA,FW,23-105,5,4,1,3,0,1,0,4,0,0,0,0,0,2,11,8,0,0,0,0,0,1,0
5,Tomas Ostrak,7,cz CZE,LM,23-048,59,44,0,6,28,11,1,44,7,6,85.7,1,14.3,18,84,40,1,0,1,3,2,27,5
5,Rasmus Alm,21,se SWE,RM,27-220,31,20,1,2,6,12,4,20,3,1,33.3,1,33.3,10,69,28,1,0,0,2,1,9,4
5,Eduard Lowen,10,de GER,CM,26-056,76,48,2,8,25,16,2,48,4,2,50,2,50,31,164,124,5,2,2,2,0,31,2
5,Njabulo Blom,6,za RSA,CM,23-104,14,7,0,3,2,2,0,7,1,1,100,0,0,2,14,0,0,0,0,0,0,2,0
5,Indiana Vassilev,19,us USA,CM,22-037,76,30,1,5,21,4,1,30,1,1,100,0,0,12,114,72,2,0,1,0,0,17,1
5,Akil Watts,20,us USA,CM,23-049,14,5,0,2,4,0,0,5,0,0,0,0,0,4,9,4,0,0,0,0,0,4,0
5,Jared Stroud,8,us USA,RM,26-258,59,33,0,10,12,12,2,33,3,1,33.3,2,66.7,16,51,22,0,0,0,1,0,18,5
5,Isak Jensen,30,dk DEN,LM,19-092,31,13,0,3,4,6,2,13,0,0,0,0,0,8,29,16,2,0,2,0,1,8,0
5,John Nelson,14,us USA,LB,24-257,90,57,3,20,26,11,0,57,1,1,100,0,0,23,103,50,1,2,0,1,0,19,2
5,Tim Parker,26,us USA,CB,30-030,90,25,5,14,11,0,0,25,1,1,100,0,0,12,68,40,0,0,0,1,1,8,0
5,Lucas Bartlett,24,us USA,CB,25-242,90,50,18,35,15,1,1,50,0,0,0,0,0,13,47,32,0,0,0,1,0,11,0
5,Jake Nerwinski,2,us USA,RB,28-159,90,48,1,17,26,6,0,48,0,0,0,0,0,16,69,48,0,0,0,0,0,17,0
5,Roman Burki,1,ch SUI,GK,32-131,90,34,27,34,0,0,0,34,0,0,0,0,0,22,169,103,0,0,0,0,0,10,0
