Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
18,Nicholas Gioacchini,11,us USA,FW,22-331,79,12,20,60,192,21,5,9,55.6,4,6,66.7,2,2,100,0,0.2,0.1,2,1,1,0,1
18,Isak Jensen,30,dk DEN,FW,19-180,11,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Jared Stroud,8,us USA,LW,26-346,90,21,41,51.2,359,140,8,14,57.1,12,20,60,1,6,16.7,0,0,0,0,3,2,0,4
18,Celio Pompeu,12,br BRA,RW,23-193,63,9,19,47.4,141,72,3,8,37.5,6,8,75,0,2,0,0,0,0.1,1,0,2,1,3
18,Rasmus Alm,21,se SWE,RW,27-308,27,2,8,25,49,13,1,3,33.3,0,4,0,1,1,100,0,0.1,0,1,0,1,1,0
18,Tomas Ostrak,7,cz CZE,AM,23-136,79,20,25,80,305,56,11,14,78.6,9,9,100,0,0,0,0,0,0,0,3,1,0,6
18,John Klein,41,us USA,AM,23-216,11,3,6,50,63,0,2,4,50,0,0,0,1,1,100,0,0,0,0,0,0,0,0
18,Indiana Vassilev,19,us USA,DM,22-125,68,11,21,52.4,189,51,5,7,71.4,5,8,62.5,1,4,25,0,0,0,0,1,0,0,1
18,Aziel Jackson,25,fr FRA,DM,21-240,22,6,8,75,80,39,4,4,100,1,1,100,0,2,0,0,0,0,0,1,2,0,3
18,Njabulo Blom,6,za RSA,DM,23-192,90,33,38,86.8,580,297,15,17,88.2,16,18,88.9,2,3,66.7,0,0,0,0,7,0,0,6
18,John Nelson,14,us USA,LB,24-345,90,38,53,71.7,606,332,17,19,89.5,20,27,74.1,0,1,0,0,0.1,0.1,2,2,2,1,6
18,Tim Parker,26,us USA,CB,30-118,90,45,54,83.3,978,377,11,12,91.7,27,30,90,7,11,63.6,0,0,0,0,3,0,0,6
18,Lucas Bartlett,24,us USA,CB,25-330,79,44,53,83,848,363,15,18,83.3,26,28,92.9,3,6,50,0,0,0,0,1,0,0,1
18,Joshua Yaro,15,gh GHA,CB,28-215,11,5,7,71.4,98,13,1,2,50,4,4,100,0,1,0,0,0,0,0,0,0,0,0
18,Jake Nerwinski,2,us USA,RB,28-247,90,40,51,78.4,703,330,20,22,90.9,15,19,78.9,5,10,50,1,0.2,0.3,1,6,1,1,6
18,Roman Burki,1,ch SUI,GK,32-219,90,24,29,82.8,552,392,5,5,100,16,16,100,3,8,37.5,0,0,0,0,0,0,0,0
