Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
18,Nicholas Gioacchini,11,us USA,FW,22-331,79,0,0,0,0,0,0,2,0,2,2,1,1,0,0,1,0
18,Isak Jensen,30,dk DEN,FW,19-180,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Jared Stroud,8,us USA,LW,26-346,90,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0
18,Celio Pompeu,12,br BRA,RW,23-193,63,4,2,1,3,0,3,6,50,3,1,0,1,1,5,0,0
18,Rasmus Alm,21,se SWE,RW,27-308,27,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
18,Tomas Ostrak,7,cz CZE,AM,23-136,79,1,0,0,0,1,1,1,100,0,1,0,1,0,1,0,0
18,John Klein,41,us USA,AM,23-216,11,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,Indiana Vassilev,19,us USA,DM,22-125,68,2,1,1,0,1,2,4,50,2,3,0,3,0,2,0,1
18,Aziel Jackson,25,fr FRA,DM,21-240,22,1,1,0,1,0,1,1,100,0,0,0,0,0,1,0,0
18,Njabulo Blom,6,za RSA,DM,23-192,90,2,0,2,0,0,0,4,0,4,2,0,2,4,6,0,0
18,John Nelson,14,us USA,LB,24-345,90,2,2,2,0,0,1,1,100,0,3,0,3,1,3,0,0
18,Tim Parker,26,us USA,CB,30-118,90,2,2,2,0,0,1,2,50,1,1,1,0,1,3,1,0
18,Lucas Bartlett,24,us USA,CB,25-330,79,1,1,1,0,0,1,1,100,0,0,0,0,1,2,3,0
18,Joshua Yaro,15,gh GHA,CB,28-215,11,3,3,2,1,0,1,1,100,0,0,0,0,1,4,0,0
18,Jake Nerwinski,2,us USA,RB,28-247,90,1,1,1,0,0,0,3,0,3,1,1,0,2,3,1,0
18,Roman Burki,1,ch SUI,GK,32-219,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
