Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
19,Samuel Adeniran,16,us USA,FW,24-267,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,Tomas Ostrak,7,cz CZE,FW,23-139,11,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
19,Rasmus Alm,21,se SWE,"FW,RM",27-311,89,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19,Isak Jensen,30,dk DEN,RM,19-183,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
19,Aziel Jackson,25,fr FRA,AM,21-243,71,4,3,1,3,0,1,2,50,1,1,0,1,1,5,0,0
19,Nicholas Gioacchini,11,us USA,FW,22-334,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
19,Jared Stroud,8,us USA,LM,26-349,79,4,3,2,2,0,0,1,0,1,4,1,3,1,5,2,0
19,Celio Pompeu,12,br BRA,LM,23-196,11,2,1,1,1,0,1,1,100,0,2,0,2,1,3,0,0
19,Miguel Perez,28,us USA,RM,18-057,71,1,1,0,1,0,1,5,20,4,4,0,4,0,1,2,0
19,Indiana Vassilev,19,us USA,CM,22-128,19,3,2,2,1,0,1,1,100,0,0,0,0,0,3,0,0
19,Njabulo Blom,6,za RSA,"DM,CM",23-195,90,3,1,1,1,1,2,4,50,2,2,0,2,3,6,0,0
19,Kyle Hiebert,22,ca CAN,LB,25-329,90,1,0,0,0,1,1,2,50,1,3,0,3,0,1,4,0
19,Tim Parker,26,us USA,CB,30-121,90,1,0,1,0,0,0,0,0,0,1,1,0,2,3,5,0
19,Joshua Yaro,15,gh GHA,CB,28-218,90,2,2,1,1,0,1,1,100,0,3,0,3,5,7,4,0
19,Akil Watts,20,us USA,RB,23-140,90,5,2,4,0,1,2,3,66.7,1,1,0,1,4,9,3,0
19,Roman Burki,1,ch SUI,GK,32-222,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
