Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
19,Samuel Adeniran,16,us USA,FW,24-267,79,5,11,45.5,83,20,3,6,50,2,4,50,0,0,0,0,0.5,0.2,1,1,0,0,0
19,Tomas Ostrak,7,cz CZE,FW,23-139,11,4,5,80,68,9,2,2,100,2,2,100,0,1,0,0,0,0,0,0,0,0,1
19,Rasmus Alm,21,se SWE,"FW,RM",27-311,89,16,26,61.5,223,112,8,13,61.5,3,4,75,3,6,50,1,0.1,0.1,1,1,0,0,1
19,Isak Jensen,30,dk DEN,RM,19-183,1,4,6,66.7,52,48,1,1,100,2,2,100,0,1,0,0,0,0,0,1,0,0,2
19,Aziel Jackson,25,fr FRA,AM,21-243,71,8,11,72.7,161,65,3,3,100,4,4,100,1,2,50,0,0,0.1,0,2,2,0,3
19,Nicholas Gioacchini,11,us USA,FW,22-334,19,6,10,60,85,28,2,4,50,3,3,100,0,1,0,0,0,0,0,1,0,0,2
19,Jared Stroud,8,us USA,LM,26-349,79,13,23,56.5,243,76,5,9,55.6,7,12,58.3,1,2,50,0,0,0,0,1,1,0,3
19,Celio Pompeu,12,br BRA,LM,23-196,11,4,4,100,54,10,2,2,100,2,2,100,0,0,0,0,0.1,0,1,0,0,0,0
19,Miguel Perez,28,us USA,RM,18-057,71,16,21,76.2,204,40,10,13,76.9,5,5,100,0,1,0,0,0.2,0.1,4,2,0,0,1
19,Indiana Vassilev,19,us USA,CM,22-128,19,6,9,66.7,69,17,6,9,66.7,0,0,0,0,0,0,0,0,0,0,0,1,0,1
19,Njabulo Blom,6,za RSA,"DM,CM",23-195,90,25,32,78.1,427,231,14,16,87.5,9,10,90,2,4,50,0,0,0,0,2,0,0,6
19,Kyle Hiebert,22,ca CAN,LB,25-329,90,16,23,69.6,297,148,5,6,83.3,10,13,76.9,1,3,33.3,0,0,0,0,0,0,0,2
19,Tim Parker,26,us USA,CB,30-121,90,31,36,86.1,713,299,3,3,100,21,23,91.3,7,10,70,0,0,0,0,2,0,0,2
19,Joshua Yaro,15,gh GHA,CB,28-218,90,34,44,77.3,721,300,7,9,77.8,23,24,95.8,4,9,44.4,0,0,0,0,2,0,0,6
19,Akil Watts,20,us USA,RB,23-140,90,25,32,78.1,418,200,8,10,80,14,15,93.3,2,5,40,0,0,0,1,3,1,1,2
19,Roman Burki,1,ch SUI,GK,32-222,90,22,40,55,642,504,2,2,100,12,12,100,8,26,30.8,0,0,0,0,1,0,0,0
