Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
19,Samuel Adeniran,16,us USA,FW,24-267,79,19,1,1,8,10,6,18,1,1,100,0,0,10,72,45,3,0,3,1,0,16,6
19,Tomas Ostrak,7,cz CZE,FW,23-139,11,9,0,1,2,6,1,9,2,1,50,1,50,4,26,18,2,1,1,0,0,6,2
19,Rasmus Alm,21,se SWE,"FW,RM",27-311,89,33,0,4,13,16,1,33,1,1,100,0,0,17,219,47,2,1,0,2,1,22,7
19,Isak Jensen,30,dk DEN,RM,19-183,1,7,0,3,2,2,0,7,0,0,0,0,0,3,13,1,0,0,0,0,0,3,0
19,Aziel Jackson,25,fr FRA,AM,21-243,71,27,0,3,16,9,2,27,3,1,33.3,1,33.3,16,112,62,2,1,0,4,0,16,3
19,Nicholas Gioacchini,11,us USA,FW,22-334,19,14,1,3,5,6,0,14,1,0,0,1,100,11,55,26,1,0,0,0,1,14,2
19,Jared Stroud,8,us USA,LM,26-349,79,39,1,14,19,6,0,39,0,0,0,0,0,18,94,28,1,2,0,2,1,15,5
19,Celio Pompeu,12,br BRA,LM,23-196,11,11,0,2,4,5,2,11,1,1,100,0,0,5,29,15,1,1,0,1,1,3,2
19,Miguel Perez,28,us USA,RM,18-057,71,30,2,5,17,8,3,30,0,0,0,0,0,11,44,19,0,1,0,1,1,17,4
19,Indiana Vassilev,19,us USA,CM,22-128,19,14,0,2,9,3,0,14,1,0,0,1,100,5,17,0,0,1,0,0,0,5,0
19,Njabulo Blom,6,za RSA,"DM,CM",23-195,90,48,0,11,29,8,0,48,2,1,50,1,50,22,155,56,0,2,0,1,2,18,0
19,Kyle Hiebert,22,ca CAN,LB,25-329,90,30,4,16,13,2,0,30,1,1,100,0,0,6,19,11,0,0,0,0,0,6,0
19,Tim Parker,26,us USA,CB,30-121,90,43,6,27,17,0,0,43,0,0,0,0,0,18,87,12,0,0,0,0,0,20,0
19,Joshua Yaro,15,gh GHA,CB,28-218,90,62,12,32,30,0,0,62,1,1,100,0,0,25,94,56,0,1,1,1,0,28,0
19,Akil Watts,20,us USA,RB,23-140,90,47,3,13,21,13,2,47,2,0,0,1,50,23,106,47,1,3,0,1,1,21,1
19,Roman Burki,1,ch SUI,GK,32-222,90,47,33,46,1,0,0,47,0,0,0,0,0,28,166,118,0,0,0,0,0,20,0
