Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
4,Nicholas Gioacchini,11,us USA,FW,22-236,86,19,26,73.1,233,48,14,18,77.8,4,6,66.7,0,0,0,0,0.1,0.1,1,0,0,0,3
4,Celio Pompeu,12,br BRA,"FW,LM",23-098,4,2,2,100,18,5,2,2,100,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0
4,Klauss,9,br BRA,FW,26-017,64,17,26,65.4,209,52,9,11,81.8,6,7,85.7,0,1,0,0,0,0.4,0,3,0,0,4
4,Samuel Adeniran,16,us USA,FW,24-169,26,5,9,55.6,38,13,4,7,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Jared Stroud,8,us USA,LM,26-251,64,14,17,82.4,221,73,5,6,83.3,5,6,83.3,2,2,100,0,0,0,0,1,0,0,1
4,Miguel Perez,28,us USA,LM,17-324,26,7,12,58.3,100,52,4,8,50,3,3,100,0,0,0,0,0,0,0,1,1,0,1
4,Eduard Lowen,10,de GER,CM,26-049,90,41,57,71.9,765,278,17,19,89.5,16,20,80,5,13,38.5,0,0.2,0.1,2,6,1,0,12
4,Indiana Vassilev,19,us USA,CM,22-030,85,23,34,67.6,372,94,12,14,85.7,9,14,64.3,2,5,40,0,0.1,0.1,2,0,2,1,2
4,Aziel Jackson,25,fr FRA,"CM,RM",21-145,5,1,2,50,20,0,0,1,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0
4,Rasmus Alm,21,se SWE,RM,27-213,56,14,24,58.3,204,49,7,7,100,5,11,45.5,1,3,33.3,0,0,0,0,0,0,0,1
4,Tomas Ostrak,7,cz CZE,RM,23-041,34,8,10,80,161,52,3,4,75,3,3,100,2,2,100,0,0,0,0,2,0,0,2
4,John Nelson,14,us USA,LB,24-250,90,19,37,51.4,302,131,12,16,75,4,12,33.3,3,8,37.5,0,0,0,0,0,0,0,1
4,Kyle Hiebert,22,ca CAN,CB,25-231,90,25,35,71.4,417,166,9,13,69.2,15,18,83.3,0,3,0,0,0,0,0,1,0,0,2
4,Lucas Bartlett,24,us USA,CB,25-235,90,28,34,82.4,515,196,10,11,90.9,16,18,88.9,2,5,40,0,0,0,0,1,0,0,1
4,Jake Nerwinski,2,us USA,RB,28-152,90,36,41,87.8,497,310,25,25,100,9,10,90,2,4,50,0,0.1,0,2,0,2,0,4
4,Roman Burki,1,ch SUI,GK,32-124,90,15,33,45.5,592,538,1,1,100,4,4,100,10,26,38.5,0,0,0,0,0,0,0,0
