Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
4,Nicholas Gioacchini,11,us USA,FW,22-236,86,0,0,0,0,0,0,1,0,1,2,0,2,0,0,1,0
4,Celio Pompeu,12,br BRA,"FW,LM",23-098,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Klauss,9,br BRA,FW,26-017,64,1,1,0,1,0,0,1,0,1,1,0,1,2,3,0,0
4,Samuel Adeniran,16,us USA,FW,24-169,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
4,Jared Stroud,8,us USA,LM,26-251,64,3,0,1,0,2,2,5,40,3,2,0,2,2,5,0,0
4,Miguel Perez,28,us USA,LM,17-324,26,1,1,0,0,1,1,2,50,1,1,0,1,2,3,0,0
4,Eduard Lowen,10,de GER,CM,26-049,90,2,2,1,0,1,1,4,25,3,1,0,1,0,2,1,0
4,Indiana Vassilev,19,us USA,CM,22-030,85,4,2,1,3,0,3,4,75,1,1,0,1,0,4,0,0
4,Aziel Jackson,25,fr FRA,"CM,RM",21-145,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Rasmus Alm,21,se SWE,RM,27-213,56,4,2,1,3,0,1,4,25,3,1,0,1,0,4,1,0
4,Tomas Ostrak,7,cz CZE,RM,23-041,34,3,3,2,1,0,1,1,100,0,0,0,0,0,3,1,0
4,John Nelson,14,us USA,LB,24-250,90,2,2,0,0,2,1,4,25,3,0,0,0,1,3,3,0
4,Kyle Hiebert,22,ca CAN,CB,25-231,90,3,2,2,1,0,1,1,100,0,2,2,0,1,4,6,0
4,Lucas Bartlett,24,us USA,CB,25-235,90,3,2,3,0,0,3,3,100,0,2,1,1,1,4,5,0
4,Jake Nerwinski,2,us USA,RB,28-152,90,3,3,2,0,1,1,4,25,3,1,0,1,1,4,4,0
4,Roman Burki,1,ch SUI,GK,32-124,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
