Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
4,Nicholas Gioacchini,11,us USA,FW,22-236,86,39,1,3,18,18,3,39,3,2,66.7,1,33.3,15,78,30,0,0,0,3,0,30,6
4,Celio Pompeu,12,br BRA,"FW,LM",23-098,4,4,0,1,1,2,1,4,2,1,50,0,0,2,59,32,1,1,2,0,1,3,2
4,Klauss,9,br BRA,FW,26-017,64,36,0,0,17,19,6,36,5,4,80,1,20,17,101,48,3,1,1,1,1,22,7
4,Samuel Adeniran,16,us USA,FW,24-169,26,16,1,1,2,13,4,16,3,2,66.7,1,33.3,11,98,72,4,1,2,1,1,9,3
4,Jared Stroud,8,us USA,LM,26-251,64,31,0,10,10,11,1,31,0,0,0,0,0,16,90,30,1,0,0,2,2,16,2
4,Miguel Perez,28,us USA,LM,17-324,26,15,0,3,10,3,2,15,0,0,0,0,0,7,29,7,0,0,0,0,0,7,1
4,Eduard Lowen,10,de GER,CM,26-049,90,70,3,9,33,28,1,70,4,2,50,1,25,34,172,82,2,0,0,3,2,41,2
4,Indiana Vassilev,19,us USA,CM,22-030,85,45,0,4,17,24,0,45,0,0,0,0,0,17,126,45,1,2,0,0,1,24,3
4,Aziel Jackson,25,fr FRA,"CM,RM",21-145,5,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Rasmus Alm,21,se SWE,RM,27-213,56,31,1,5,12,14,1,31,0,0,0,0,0,14,53,13,0,0,0,1,1,20,5
4,Tomas Ostrak,7,cz CZE,RM,23-041,34,19,1,5,6,8,2,19,1,1,100,0,0,6,39,18,0,0,0,1,1,6,1
4,John Nelson,14,us USA,LB,24-250,90,47,1,18,19,10,3,47,1,0,0,1,100,18,68,39,2,2,1,0,2,17,1
4,Kyle Hiebert,22,ca CAN,CB,25-231,90,47,6,30,16,1,1,47,0,0,0,0,0,14,42,13,0,0,0,0,0,12,0
4,Lucas Bartlett,24,us USA,CB,25-235,90,48,12,31,15,2,1,48,0,0,0,0,0,15,54,16,0,0,0,0,0,18,0
4,Jake Nerwinski,2,us USA,RB,28-152,90,50,2,16,15,19,0,50,2,2,100,0,0,19,88,47,0,0,0,1,0,24,2
4,Roman Burki,1,ch SUI,GK,32-124,90,34,30,34,0,0,0,34,0,0,0,0,0,21,94,44,0,0,0,0,0,18,0
