Player #,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR
1,Roman Burki,ch SUI,GK,32-351,33,1249,920,1225,26,0,0,1249,1,1,100,0,0,672,3855,2244,0,0,0,3,0,497,0
26,Tim Parker,us USA,DF,30-250,28.5,1466,221,845,582,47,22,1466,6,4,66.7,2,33.3,685,3270,1568,4,6,0,9,4,766,3
10,Eduard Lowen,de GER,MF,26-276,25.6,1799,51,292,876,659,49,1796,109,61,56,40,36.7,933,5353,2724,76,45,13,60,48,1122,100
2,Jake Nerwinski,us USA,DF,29-014,24.6,1325,90,439,565,335,5,1325,29,15,51.7,9,31,539,2932,1595,31,36,2,23,6,604,55
19,Indiana Vassilev,us USA,MF,22-257,23.5,1014,18,148,504,382,23,1014,56,21,37.5,33,58.9,568,3802,1759,49,49,13,33,26,608,71
8,Jared Stroud,us USA,"MF,FW",27-113,21.9,940,21,173,401,389,68,940,32,12,37.5,18,56.3,526,3458,1444,50,27,10,55,16,551,143
22,Kyle Hiebert,ca CAN,DF,26-093,23.6,1196,134,583,496,127,20,1196,5,2,40,2,40,480,2206,1117,14,11,0,10,6,537,19
11,Nicholas Gioacchini,us USA,FW,23-098,23.3,844,16,67,341,442,103,843,48,19,39.6,20,41.7,433,1902,730,24,11,11,73,28,634,144
6,Njabulo Blom,za RSA,MF,23-324,21.3,965,55,246,581,157,4,965,35,24,68.6,8,22.9,476,2419,900,8,18,1,35,20,490,17
9,Klauss,br BRA,FW,26-244,14.6,566,25,55,226,291,82,566,30,13,43.3,16,53.3,254,1157,448,15,9,11,34,16,384,94
14,John Nelson,us USA,DF,25-112,14.1,805,37,228,369,213,12,805,15,11,73.3,4,26.7,305,1480,792,14,18,2,10,5,352,55
7,Tomas Ostrak,cz CZE,"MF,FW",23-268,12.8,530,8,64,242,238,31,530,46,27,58.7,16,34.8,309,1883,771,29,25,10,29,26,357,79
21,Rasmus Alm,se SWE,"MF,FW",28-075,12.2,415,6,53,142,229,33,415,18,7,38.9,9,50,211,1203,536,20,12,6,17,6,263,81
25,Aziel Jackson,fr FRA,"MF,FW",22-007,12.4,552,8,66,209,286,46,552,43,20,46.5,17,39.5,336,2183,998,28,19,15,49,25,367,69
24,Lucas Bartlett,us USA,DF,26-097,11.9,627,86,316,296,21,9,627,6,2,33.3,4,66.7,283,1825,998,5,3,0,8,1,292,3
16,Samuel Adeniran,us USA,FW,25-031,10.5,305,12,24,103,186,54,304,29,14,48.3,15,51.7,168,1401,707,32,21,16,38,10,207,46
20,Akil Watts,us USA,"DF,MF",23-269,9.8,501,26,133,236,142,6,501,7,4,57.1,2,28.6,211,1114,573,17,20,1,11,9,237,27
12,Celio Pompeu,br BRA,"FW,MF",23-325,10.8,482,11,78,153,263,51,482,60,34,56.7,21,35,302,2439,1421,59,26,25,23,23,299,88
15,Joshua Yaro,gh GHA,DF,28-347,10.1,541,71,295,227,20,0,541,1,1,100,0,0,264,1272,702,3,3,1,2,2,275,1
13,Anthony Markanich,us USA,DF,23-309,7.3,406,25,130,190,94,10,406,7,2,28.6,4,57.1,160,866,486,16,14,3,5,1,192,18
28,Miguel Perez,us USA,MF,18-186,6.8,361,14,81,214,67,11,361,7,2,28.6,3,42.9,159,635,256,4,2,0,19,5,178,12
4,Joakim Nilsson,se SWE,DF,29-267,6.6,362,55,212,144,9,1,362,1,0,0,1,100,157,803,458,2,2,0,2,1,192,0
23,Jon Bell,us USA,DF,26-066,1.6,82,11,47,34,1,1,82,0,0,0,0,0,40,147,56,0,0,0,1,0,45,0
29,Nokkvi Thorisson,is ISL,"FW,MF",24-079,3,127,6,22,54,53,7,127,9,3,33.3,4,44.4,71,532,253,7,6,0,11,2,78,16
39,Benjamin Lundt,de GER,GK,28-037,1,30,27,30,0,0,0,30,0,0,0,0,0,16,69,40,0,0,0,0,0,9,0
30,Isak Jensen,dk DEN,"MF,FW",19-312,1.6,82,1,16,28,39,5,82,7,3,42.9,2,28.6,52,316,181,10,3,2,4,3,55,5
17,Selmir Pidro,ba BIH,DF,25-242,0.5,26,2,13,11,2,0,26,0,0,0,0,0,9,38,29,0,0,0,2,0,10,0
41,John Klein,us USA,MF,23-348,0.3,18,0,2,10,6,2,18,0,0,0,0,0,10,31,12,1,0,0,0,1,10,1
46,Caden Glover,us USA,MF,16-237,0.2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
