Player #,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Roman Burki,ch SUI,GK,32-351,33,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,17,2
26,Tim Parker,us USA,DF,30-250,28.5,29,20,20,6,3,13,27,48.1,14,26,20,6,45,74,151,1
10,Eduard Lowen,de GER,MF,26-276,25.6,64,42,27,27,10,33,76,43.4,43,41,11,30,16,80,29,0
2,Jake Nerwinski,us USA,DF,29-014,24.6,40,22,24,12,4,20,56,35.7,36,29,4,25,38,78,64,2
19,Indiana Vassilev,us USA,MF,22-257,23.5,46,27,21,22,3,27,65,41.5,38,29,4,25,10,56,8,1
8,Jared Stroud,us USA,"MF,FW",27-113,21.9,44,25,18,17,9,18,69,26.1,51,29,1,28,14,58,15,1
22,Kyle Hiebert,ca CAN,DF,26-093,23.6,45,24,22,18,5,27,43,62.8,16,41,13,28,29,74,95,0
11,Nicholas Gioacchini,us USA,FW,23-098,23.3,24,15,7,11,6,5,15,33.3,10,28,4,24,10,34,14,0
6,Njabulo Blom,za RSA,MF,23-324,21.3,45,19,22,15,8,18,47,38.3,29,30,5,25,49,94,22,0
9,Klauss,br BRA,FW,26-244,14.6,15,7,3,8,4,4,20,20,16,9,2,7,7,22,20,0
14,John Nelson,us USA,DF,25-112,14.1,31,20,15,13,3,18,39,46.2,21,18,2,16,16,47,43,1
7,Tomas Ostrak,cz CZE,"MF,FW",23-268,12.8,25,17,11,9,5,11,31,35.5,20,11,0,11,2,27,5,0
21,Rasmus Alm,se SWE,"MF,FW",28-075,12.2,19,12,8,9,2,9,24,37.5,15,20,0,20,5,24,6,0
25,Aziel Jackson,fr FRA,"MF,FW",22-007,12.4,27,15,9,13,5,14,36,38.9,22,17,2,15,5,32,3,0
24,Lucas Bartlett,us USA,DF,26-097,11.9,18,11,13,5,0,14,22,63.6,8,24,9,15,25,43,51,0
16,Samuel Adeniran,us USA,FW,25-031,10.5,7,4,3,3,1,3,6,50,3,6,0,6,3,10,8,0
20,Akil Watts,us USA,"DF,MF",23-269,9.8,31,18,18,9,4,14,29,48.3,15,8,2,6,14,45,26,0
12,Celio Pompeu,br BRA,"FW,MF",23-325,10.8,36,26,14,15,7,18,41,43.9,23,28,1,27,7,43,6,0
15,Joshua Yaro,gh GHA,DF,28-347,10.1,23,17,16,5,2,10,12,83.3,2,13,6,7,18,41,48,0
13,Anthony Markanich,us USA,DF,23-309,7.3,18,10,7,7,4,7,15,46.7,8,11,3,8,14,32,14,0
28,Miguel Perez,us USA,MF,18-186,6.8,23,12,13,6,4,13,28,46.4,15,12,1,11,10,33,9,0
4,Joakim Nilsson,se SWE,DF,29-267,6.6,12,9,8,4,0,9,12,75,3,20,14,6,12,24,29,0
23,Jon Bell,us USA,DF,26-066,1.6,2,1,1,1,0,1,3,33.3,2,3,2,1,2,4,5,0
29,Nokkvi Thorisson,is ISL,"FW,MF",24-079,3,8,1,4,3,1,2,6,33.3,4,7,0,7,3,11,2,0
39,Benjamin Lundt,de GER,GK,28-037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Isak Jensen,dk DEN,"MF,FW",19-312,1.6,4,3,1,2,1,3,9,33.3,6,5,0,5,1,5,2,0
17,Selmir Pidro,ba BIH,DF,25-242,0.5,3,1,1,1,1,1,2,50,1,1,1,0,0,3,1,0
41,John Klein,us USA,MF,23-348,0.3,2,2,0,1,1,1,1,100,0,1,0,1,1,3,0,0
46,Caden Glover,us USA,MF,16-237,0.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
