Player ID,Player,#,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won(Aer),Lost(Aer),Won%(Aer),Matches
0,Roman Bürki,1,ch SUI,GK,32-351,33,1,0,0,1,6,0,0,0,1,0,1,0,63,13,0,100,Matches
1,Tim Parker,26,us USA,DF,30-250,28.5,10,0,0,30,10,1,1,45,20,0,0,1,167,69,27,71.9,Matches
2,Eduard Löwen,10,de GER,MF,26-276,25.6,3,0,0,42,32,2,148,16,42,0,0,0,209,26,26,50,Matches
3,Jake Nerwinski,2,us USA,DF,29-014,24.6,5,1,0,36,15,0,58,38,22,0,0,1,145,34,23,59.6,Matches
4,Indiana Vassilev,19,us USA,MF,22-257,23.5,2,0,0,17,36,2,89,10,27,2,0,0,128,8,19,29.6,Matches
5,Jared Stroud,8,us USA,"MF,FW",27-113,21.9,8,0,0,36,31,4,74,14,25,0,0,0,156,6,20,23.1,Matches
6,Kyle Hiebert,22,ca CAN,DF,26-093,23.6,6,1,1,16,15,3,9,29,24,0,3,0,148,56,41,57.7,Matches
7,Nicholas Gioacchini,11,us USA,FW,23-098,23.3,2,0,0,43,62,10,3,10,15,0,0,0,60,60,117,33.9,Matches
8,Njabulo Blom,6,za RSA,MF,23-324,21.3,6,0,0,21,22,0,6,49,19,0,0,0,185,8,16,33.3,Matches
9,Klauss,9,br BRA,FW,26-244,14.6,1,0,0,31,18,4,9,7,7,0,0,0,43,40,36,52.6,Matches
10,John Nelson,14,us USA,DF,25-112,14.1,2,1,1,8,3,0,32,16,20,0,1,0,73,24,38,38.7,Matches
11,Tomáš Ostrák,7,cz CZE,"MF,FW",23-268,12.8,7,0,0,22,12,0,9,2,17,0,0,0,70,9,21,30,Matches
12,Rasmus Alm,21,se SWE,"MF,FW",28-075,12.2,4,0,0,30,11,3,33,5,12,0,0,0,53,15,21,41.7,Matches
13,Aziel Jackson,25,fr FRA,"MF,FW",22-007,12.4,3,0,0,21,29,1,17,5,15,2,0,0,70,6,16,27.3,Matches
14,Lucas Bartlett,24,us USA,DF,26-097,11.9,4,0,0,25,6,0,1,25,11,0,0,0,81,31,23,57.4,Matches
15,Samuel Adeniran,16,us USA,FW,25-031,10.5,3,1,1,12,2,7,15,3,4,0,1,0,17,39,27,59.1,Matches
16,Akil Watts,20,us USA,"DF,MF",23-269,9.8,0,0,0,9,0,1,29,14,18,0,0,0,57,5,6,45.5,Matches
17,Célio Pompeu,12,br BRA,"FW,MF",23-325,10.8,2,0,0,27,14,2,42,7,26,0,0,0,59,6,12,33.3,Matches
18,Joshua Yaro,15,gh GHA,DF,28-347,10.1,2,0,0,7,3,0,0,18,17,0,0,0,65,27,21,56.3,Matches
19,Anthony Markanich,13,us USA,DF,23-309,7.3,4,0,0,10,5,0,18,14,10,0,1,0,38,16,6,72.7,Matches
20,Miguel Perez,28,us USA,MF,18-186,6.8,2,0,0,14,6,0,2,10,12,0,0,0,50,13,14,48.1,Matches
21,Joakim Nilsson,4,se SWE,DF,29-267,6.6,1,0,0,7,8,0,0,12,9,0,0,0,33,9,3,75,Matches
22,Jon Bell,23,us USA,DF,26-066,1.6,2,0,0,4,2,0,0,2,1,0,0,0,14,1,4,20,Matches
23,Nökkvi Þórisson,29,is ISL,"FW,MF",24-079,3,0,0,0,5,2,1,5,3,1,0,0,0,10,4,6,40,Matches
24,Benjamin Lundt,39,de GER,GK,28-037,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,Matches
25,Isak Jensen,30,dk DEN,"MF,FW",19-312,1.6,0,0,0,4,5,1,2,1,3,0,0,0,12,2,5,28.6,Matches
26,Selmir Pidro,17,ba BIH,DF,25-242,0.5,0,0,0,2,0,0,0,0,1,0,0,0,6,1,0,100,Matches
27,John Klein,41,us USA,MF,23-348,0.3,0,0,0,1,1,0,0,1,2,0,0,0,2,0,1,0,Matches
28,Caden Glover,46,us USA,MF,16-237,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Matches
29,Squad Total,,,26.5,34,80,4,3,481,356,42,602,356,381,4,7,2,2015,529,551,49,,
30,Opponent Total,,,28.0,34,81,1,0,376,461,63,616,344,337,4,5,3,2044,550,528,51,,
