Player ID,Player,#,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
0,Roman Bürki,1,ch SUI,GK,32-351,33,2970,90,97.1,33,33,90,33,0,0,1,1.65,62,42,20,0.61,3.61,42.3,48.6,-6.3,-0.19,0.96,Matches
1,Tim Parker,26,us USA,DF,30-250,29,2565,88,83.8,28.5,29,88,28,0,0,0,1.67,56,38,18,0.63,0.81,37.6,41.4,-3.9,-0.14,0.53,Matches
2,Eduard Löwen,10,de GER,MF,26-276,29,2308,80,75.4,25.6,25,87,19,4,33,0,1.57,52,32,20,0.78,1.14,32.4,38,-5.6,-0.22,0.02,Matches
3,Jake Nerwinski,2,us USA,DF,29-014,29,2211,76,72.3,24.6,25,85,18,4,21,3,1.53,43,32,11,0.45,-0.19,30.8,34.3,-3.5,-0.14,0.27,Matches
4,Indiana Vassilev,19,us USA,MF,22-257,34,2112,62,69,23.5,25,75,8,9,25,0,1.6,39,32,7,0.3,-0.65,27.8,34.4,-6.6,-0.28,-0.2,Matches
5,Jared Stroud,8,us USA,"MF,FW",27-113,31,1971,64,64.4,21.9,25,72,3,6,27,2,1.66,42,26,16,0.73,0.65,27.5,30.9,-3.5,-0.16,0.17,Matches
6,Kyle Hiebert,22,ca CAN,DF,26-093,27,2128,79,69.5,23.6,24,87,22,3,12,5,1.82,48,30,18,0.76,0.86,31.7,36.8,-5.2,-0.22,0,Matches
7,Nicholas Gioacchini,11,us USA,FW,23-098,32,2095,65,68.5,23.3,24,79,6,8,26,1,1.61,46,25,21,0.9,1.28,31.5,33.3,-1.8,-0.08,0.46,Matches
8,Njabulo Blom,6,za RSA,MF,23-324,26,1915,74,62.6,21.3,21,83,15,5,36,1,1.7,41,27,14,0.66,0.42,28.1,30.1,-2,-0.09,0.34,Matches
9,Klauss,9,br BRA,FW,26-244,19,1315,69,43,14.6,14,84,8,5,28,0,1.55,32,17,15,1.03,0.92,19,21.2,-2.2,-0.15,0.13,Matches
10,John Nelson,14,us USA,DF,25-112,17,1266,74,41.4,14.1,14,85,10,3,25,5,1.47,24,22,2,0.14,-0.61,16.2,21.1,-4.8,-0.34,-0.21,Matches
11,Tomáš Ostrák,7,cz CZE,"MF,FW",23-268,30,1151,38,37.6,12.8,13,66,1,17,17,3,1.63,21,23,-2,-0.16,-1.05,14.4,21.3,-6.9,-0.54,-0.52,Matches
12,Rasmus Alm,21,se SWE,"MF,FW",28-075,21,1096,52,35.8,12.2,13,69,1,8,25,2,1.95,27,12,15,1.23,1.14,16.1,18.1,-2,-0.16,0.09,Matches
13,Aziel Jackson,25,fr FRA,"MF,FW",22-007,25,1119,45,36.6,12.4,12,75,0,13,17,3,1.54,18,16,2,0.16,-0.53,16,17.7,-1.7,-0.14,0.13,Matches
14,Lucas Bartlett,24,us USA,DF,26-097,14,1067,76,34.9,11.9,12,87,9,2,15,8,1.57,20,16,4,0.34,-0.25,15.4,17.2,-1.8,-0.16,0.1,Matches
15,Samuel Adeniran,16,us USA,FW,25-031,18,949,53,31,10.5,11,72,2,7,22,3,1.53,18,14,4,0.38,-0.17,13.3,14.2,-0.9,-0.08,0.2,Matches
16,Akil Watts,20,us USA,"DF,MF",23-269,18,880,49,28.8,9.8,11,71,2,7,14,13,1.74,14,10,4,0.41,-0.13,11.9,14.5,-2.6,-0.27,-0.07,Matches
17,Célio Pompeu,12,br BRA,"FW,MF",23-325,26,975,38,31.9,10.8,9,81,4,17,14,4,1.67,19,15,4,0.37,-0.19,12.7,16.3,-3.6,-0.33,-0.17,Matches
18,Joshua Yaro,15,gh GHA,DF,28-347,16,907,57,29.6,10.1,9,90,9,7,14,16,1.81,20,12,8,0.79,0.42,13.2,14.8,-1.6,-0.16,0.09,Matches
19,Anthony Markanich,13,us USA,DF,23-309,10,656,66,21.4,7.3,7,82,3,3,27,1,1.09,10,12,-2,-0.27,-0.99,7.1,10.8,-3.7,-0.51,-0.37,Matches
20,Miguel Perez,28,us USA,MF,18-186,15,610,41,19.9,6.8,7,68,2,8,17,7,1.87,8,11,-3,-0.44,-1.18,9.5,8.7,0.8,0.11,0.42,Matches
21,Joakim Nilsson,4,se SWE,DF,29-267,8,593,74,19.4,6.6,7,84,4,1,4,1,1,9,9,0,0,-0.62,6.1,8.7,-2.5,-0.39,-0.21,Matches
22,Jon Bell,23,us USA,DF,26-066,3,142,47,4.6,1.6,2,71,0,1,1,11,2,3,1,2,1.27,0.8,1.9,2.5,-0.6,-0.39,-0.17,Matches
23,Nökkvi Þórisson,29,is ISL,"FW,MF",24-079,9,268,30,8.8,3,1,90,1,8,22,2,1.33,7,11,-4,-1.34,-2.02,2.6,6.4,-3.7,-1.26,-1.14,Matches
24,Benjamin Lundt,39,de GER,GK,28-037,1,90,90,2.9,1,1,90,1,0,0,33,0,0,3,-3,-3,-3.61,0.3,1.5,-1.2,-1.16,-0.96,Matches
25,Isak Jensen,30,dk DEN,"MF,FW",19-312,11,144,13,4.7,1.6,0,0,0,11,13,6,1.36,3,2,1,0.62,0.13,2.1,3,-0.9,-0.55,-0.35,Matches
26,Selmir Pidro,17,ba BIH,DF,25-242,2,43,22,1.4,0.5,0,0,0,2,22,12,2,0,2,-2,-4.19,-4.75,0.5,2.1,-1.6,-3.38,-3.21,Matches
27,John Klein,41,us USA,MF,23-348,2,24,12,0.8,0.3,0,0,0,2,12,0,1.5,0,0,0,0,-0.5,0.1,0.5,-0.4,-1.57,-1.36,Matches
28,Caden Glover,46,us USA,MF,16-237,1,14,14,0.5,0.2,0,0,0,1,14,0,0,0,0,0,0,-0.5,0.1,0.2,-0.1,-0.57,-0.35,Matches
30,Squad Total,,,,26.5,34,3060,90,100,34,374,81,209,162,20,144,1.65,62,45,17,0.5,,42.6,50.1,-7.5,-0.22,,
31,Opponent Total,,,,28.0,34,3060,90,100,34,374,81,227,148,22,156,1.21,45,62,-17,-0.5,,50.1,42.6,7.5,0.22,,
