Player ID,Player,#,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,Roman Bürki,1,ch SUI,GK,32-351,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1,Tim Parker,26,us USA,DF,30-250,28.5,4,15,4,26.7,0.53,0.14,0.27,1,9,0,0,0,1.5,1.5,0.1,2.5,2.5,Matches
2,Eduard Löwen,10,de GER,MF,26-276,25.6,6,76,24,31.6,2.96,0.94,0.04,0.13,27.6,21,3,3,5.3,2.9,0.04,0.7,0.1,Matches
3,Jake Nerwinski,2,us USA,DF,29-014,24.6,0,5,1,20,0.2,0.04,0,0,27.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
4,Indiana Vassilev,19,us USA,MF,22-257,23.5,2,34,10,29.4,1.45,0.43,0.06,0.2,22.8,5,0,0,2.2,2.2,0.06,-0.2,-0.2,Matches
5,Jared Stroud,8,us USA,"MF,FW",27-113,21.9,5,44,17,38.6,2.01,0.78,0.11,0.29,19.4,0,0,0,4.1,4.1,0.09,0.9,0.9,Matches
6,Kyle Hiebert,22,ca CAN,DF,26-093,23.6,2,11,3,27.3,0.47,0.13,0.18,0.67,11.4,0,0,0,1.2,1.2,0.11,0.8,0.8,Matches
7,Nicholas Gioacchini,11,us USA,FW,23-098,23.3,10,43,20,46.5,1.85,0.86,0.21,0.45,11.2,0,1,1,7.5,6.7,0.17,2.5,2.3,Matches
8,Njabulo Blom,6,za RSA,MF,23-324,21.3,1,13,3,23.1,0.61,0.14,0.08,0.33,26.1,0,0,0,0.4,0.4,0.03,0.6,0.6,Matches
9,Klauss,9,br BRA,FW,26-244,14.6,10,42,19,45.2,2.87,1.3,0.24,0.53,14.1,0,0,0,5.8,5.8,0.14,4.2,4.2,Matches
10,John Nelson,14,us USA,DF,25-112,14.1,0,5,2,40,0.36,0.14,0,0,20.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
11,Tomáš Ostrák,7,cz CZE,"MF,FW",23-268,12.8,3,32,12,37.5,2.5,0.94,0.09,0.25,19.7,0,0,0,2.3,2.3,0.07,0.7,0.7,Matches
12,Rasmus Alm,21,se SWE,"MF,FW",28-075,12.2,3,13,8,61.5,1.07,0.66,0.23,0.38,15.5,0,0,0,1.7,1.7,0.13,1.3,1.3,Matches
13,Aziel Jackson,25,fr FRA,"MF,FW",22-007,12.4,1,30,14,46.7,2.41,1.13,0.03,0.07,21.3,0,0,0,1.8,1.8,0.06,-0.8,-0.8,Matches
14,Lucas Bartlett,24,us USA,DF,26-097,11.9,0,6,2,33.3,0.51,0.17,0,0,7.2,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
15,Samuel Adeniran,16,us USA,FW,25-031,10.5,8,34,12,35.3,3.22,1.14,0.21,0.58,16.7,0,1,1,3.9,3.1,0.09,4.1,3.9,Matches
16,Akil Watts,20,us USA,"DF,MF",23-269,9.8,0,4,0,0,0.41,0,0,,28.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
17,Célio Pompeu,12,br BRA,"FW,MF",23-325,10.8,1,22,7,31.8,2.03,0.65,0.05,0.14,17.7,0,0,0,1.9,1.9,0.09,-0.9,-0.9,Matches
18,Joshua Yaro,15,gh GHA,DF,28-347,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Anthony Markanich,13,us USA,DF,23-309,7.3,1,6,3,50,0.82,0.41,0.17,0.33,22.8,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches
20,Miguel Perez,28,us USA,MF,18-186,6.8,1,10,2,20,1.48,0.3,0.1,0.5,18,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
21,Joakim Nilsson,4,se SWE,DF,29-267,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Jon Bell,23,us USA,DF,26-066,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Nökkvi Þórisson,29,is ISL,"FW,MF",24-079,3,1,5,2,40,1.68,0.67,0.2,0.5,18.5,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
24,Benjamin Lundt,39,de GER,GK,28-037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Isak Jensen,30,dk DEN,"MF,FW",19-312,1.6,0,5,2,40,3.12,1.25,0,0,17.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
26,Selmir Pidro,17,ba BIH,DF,25-242,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,John Klein,41,us USA,MF,23-348,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Caden Glover,46,us USA,MF,16-237,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Squad Total,,,26.5,34,59,455,167,36.7,13.38,4.91,0.12,0.32,19.2,26,5,5,42.6,38.7,0.09,16.4,15.3,,
30,Opponent Total,,,28.0,34,43,437,163,37.3,12.85,4.79,0.08,0.22,17.6,15,7,7,50.1,45,0.11,-7.1,-9,,
