Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
7,Klauss,9,br BRA,FW,26-038,90,1,0,0,1,0,0,2,0,2,0,0,0,0,1,2,0
7,Nicholas Gioacchini,11,us USA,FW,22-257,73,2,2,0,1,1,0,0,0,0,1,0,1,0,2,1,0
7,Samuel Adeniran,16,us USA,"AM,FW",24-190,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Miguel Perez,28,us USA,CM,17-345,63,4,1,2,1,1,1,2,50,1,1,0,1,1,5,0,0
7,Njabulo Blom,6,za RSA,CM,23-118,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7,Celio Pompeu,12,br BRA,"LW,CM",23-119,13,3,1,2,1,0,2,3,66.7,1,1,1,0,0,3,0,0
7,Eduard Lowen,10,de GER,CM,26-070,73,4,3,2,2,0,3,7,42.9,4,0,0,0,1,5,0,0
7,Tomas Ostrak,7,cz CZE,"RW,CM,DM",23-062,17,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Indiana Vassilev,19,us USA,"CM,DM,RW",22-051,90,4,2,2,2,0,3,4,75,1,1,0,1,0,4,0,0
7,John Nelson,14,us USA,LB,24-271,90,3,2,0,3,0,2,3,66.7,1,2,0,2,1,4,1,0
7,Kyle Hiebert,22,ca CAN,"CB,DM",25-252,90,3,1,1,1,1,2,3,66.7,1,0,0,0,2,5,2,0
7,Tim Parker,26,us USA,CB,30-044,90,0,0,0,0,0,0,0,0,0,1,1,0,1,1,11,0
7,Lucas Bartlett,24,us USA,CB,25-256,73,0,0,0,0,0,0,0,0,0,1,0,1,1,1,6,0
7,Isak Jensen,30,dk DEN,"CB,DM",19-106,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,Jake Nerwinski,2,us USA,RB,28-173,90,2,1,1,1,0,0,2,0,2,3,0,3,2,4,1,0
7,Roman Burki,1,ch SUI,GK,32-145,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
