Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
7,Klauss,9,br BRA,FW,26-038,90,25,36,69.4,353,84,14,19,73.7,9,12,75,1,2,50,0,0,0,1,0,1,0,3
7,Nicholas Gioacchini,11,us USA,FW,22-257,73,19,28,67.9,253,48,14,18,77.8,2,2,100,2,2,100,0,0.2,0.3,1,1,1,1,0
7,Samuel Adeniran,16,us USA,"AM,FW",24-190,17,4,7,57.1,45,1,4,7,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Miguel Perez,28,us USA,CM,17-345,63,13,20,65,257,49,6,8,75,4,5,80,3,4,75,0,0,0,1,2,0,0,0
7,Njabulo Blom,6,za RSA,CM,23-118,14,4,6,66.7,52,15,3,4,75,1,1,100,0,1,0,0,0,0,0,1,0,0,1
7,Celio Pompeu,12,br BRA,"LW,CM",23-119,13,5,7,71.4,85,5,4,4,100,0,1,0,1,1,100,0,0,0,0,0,0,0,0
7,Eduard Lowen,10,de GER,CM,26-070,73,28,40,70,559,231,14,16,87.5,7,10,70,7,12,58.3,0,0,0.1,0,9,1,0,9
7,Tomas Ostrak,7,cz CZE,"RW,CM,DM",23-062,17,8,11,72.7,215,64,2,3,66.7,3,4,75,3,4,75,0,0,0,1,0,0,0,1
7,Indiana Vassilev,19,us USA,"CM,DM,RW",22-051,90,27,33,81.8,500,169,11,13,84.6,14,16,87.5,2,4,50,0,0.1,0.1,2,5,0,0,6
7,John Nelson,14,us USA,LB,24-271,90,19,31,61.3,289,117,10,15,66.7,8,13,61.5,1,3,33.3,0,0,0,0,2,1,1,1
7,Kyle Hiebert,22,ca CAN,"CB,DM",25-252,90,17,24,70.8,260,150,9,13,69.2,7,10,70,1,1,100,0,0,0,0,1,0,0,0
7,Tim Parker,26,us USA,CB,30-044,90,27,33,81.8,520,232,9,9,100,15,19,78.9,3,5,60,0,0,0,0,1,0,0,1
7,Lucas Bartlett,24,us USA,CB,25-256,73,19,25,76,467,257,8,9,88.9,7,8,87.5,4,6,66.7,0,0.1,0.1,1,2,1,1,2
7,Isak Jensen,30,dk DEN,"CB,DM",19-106,17,2,3,66.7,22,6,2,2,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Jake Nerwinski,2,us USA,RB,28-173,90,52,70,74.3,787,482,30,36,83.3,17,27,63,4,4,100,0,0,0.1,0,6,3,2,5
7,Roman Burki,1,ch SUI,GK,32-145,90,15,32,46.9,564,488,2,2,100,2,2,100,11,28,39.3,0,0,0,0,0,0,0,0
