Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
7,Klauss,9,br BRA,FW,26-038,90,50,2,4,22,25,7,50,3,1,33.3,2,66.7,18,88,28,0,0,0,4,2,31,7
7,Nicholas Gioacchini,11,us USA,FW,22-257,73,42,0,1,11,30,4,42,4,3,75,1,25,20,84,36,3,0,1,4,1,34,6
7,Samuel Adeniran,16,us USA,"AM,FW",24-190,17,10,0,0,1,9,0,10,0,0,0,0,0,7,26,13,1,0,0,3,0,6,0
7,Miguel Perez,28,us USA,CM,17-345,63,36,1,4,25,7,1,36,2,0,0,2,100,17,56,24,1,0,0,4,1,14,0
7,Njabulo Blom,6,za RSA,CM,23-118,14,7,0,2,5,0,0,7,0,0,0,0,0,6,18,6,0,0,0,1,0,4,0
7,Celio Pompeu,12,br BRA,"LW,CM",23-119,13,13,0,3,4,6,2,13,3,1,33.3,2,66.7,6,30,21,1,1,0,0,0,7,1
7,Eduard Lowen,10,de GER,CM,26-070,73,50,0,4,28,19,3,50,9,5,55.6,4,44.4,32,149,70,2,2,0,2,0,33,4
7,Tomas Ostrak,7,cz CZE,"RW,CM,DM",23-062,17,14,1,2,6,6,0,14,0,0,0,0,0,10,35,7,0,0,0,0,2,10,1
7,Indiana Vassilev,19,us USA,"CM,DM,RW",22-051,90,45,0,10,24,13,0,45,2,1,50,1,50,26,83,17,0,0,0,4,0,23,1
7,John Nelson,14,us USA,LB,24-271,90,40,1,6,23,11,1,40,2,2,100,0,0,20,88,53,1,0,0,0,0,20,2
7,Kyle Hiebert,22,ca CAN,"CB,DM",25-252,90,32,4,18,13,1,0,32,0,0,0,0,0,12,40,19,1,0,0,1,0,9,0
7,Tim Parker,26,us USA,CB,30-044,90,46,8,28,18,1,0,46,0,0,0,0,0,13,36,19,0,0,0,0,0,17,0
7,Lucas Bartlett,24,us USA,CB,25-256,73,34,7,19,13,2,0,34,0,0,0,0,0,12,75,48,0,1,0,0,0,13,0
7,Isak Jensen,30,dk DEN,"CB,DM",19-106,17,4,0,2,1,1,0,4,0,0,0,0,0,3,2,2,0,0,0,1,0,3,0
7,Jake Nerwinski,2,us USA,RB,28-173,90,83,4,17,29,38,0,83,3,1,33.3,2,66.7,38,238,140,3,4,0,1,0,44,6
7,Roman Burki,1,ch SUI,GK,32-145,90,34,27,34,0,0,0,34,0,0,0,0,0,18,110,77,0,0,0,1,0,14,0
