Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
34,Nicholas Gioacchini,11,us USA,FW,23-088,76,13,19,68.4,154,75,5,9,55.6,4,5,80,0,0,0,0,0,0,1,0,1,0,3
34,Samuel Adeniran,16,us USA,FW,25-021,14,2,4,50,42,14,0,2,0,0,0,0,1,1,100,0,0,0,0,1,0,0,1
34,Klauss,9,br BRA,FW,26-234,90,17,25,68,242,54,7,12,58.3,6,7,85.7,1,2,50,0,0,0.1,0,0,1,0,1
34,Eduard Lowen,10,de GER,AM,26-266,90,33,50,66,656,219,12,13,92.3,10,14,71.4,9,16,56.3,0,0.1,0.2,2,0,2,2,4
34,Aziel Jackson,25,fr FRA,AM,21-362,87,18,22,81.8,230,118,12,14,85.7,5,6,83.3,1,2,50,0,0.1,0.1,2,2,2,0,7
34,Celio Pompeu,12,br BRA,AM,23-315,3,4,4,100,37,21,4,4,100,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34,Njabulo Blom,6,za RSA,DM,23-314,45,15,18,83.3,299,84,4,7,57.1,10,10,100,1,1,100,0,0,0,0,3,0,0,2
34,Indiana Vassilev,19,us USA,DM,22-247,45,21,24,87.5,355,133,10,11,90.9,8,8,100,2,3,66.7,0,0,0,1,1,0,0,4
34,Akil Watts,20,us USA,DM,23-259,45,6,8,75,63,29,2,4,50,2,2,100,0,0,0,0,0,0,0,1,0,0,2
34,Jared Stroud,8,us USA,DM,27-103,45,16,25,64,244,83,9,11,81.8,5,6,83.3,1,2,50,0,0,0.1,1,0,2,2,1
34,Anthony Markanich,13,us USA,LB,23-299,76,31,45,68.9,458,204,19,22,86.4,12,19,63.2,0,2,0,0,0,0,1,3,0,0,1
34,Tomas Ostrak,7,cz CZE,LB,23-258,14,6,8,75,105,11,2,2,100,2,2,100,1,1,100,0,0,0,0,0,0,0,1
34,Joakim Nilsson,4,se SWE,CB,29-257,90,38,50,76,704,309,13,18,72.2,23,25,92,2,5,40,0,0,0,0,3,0,0,5
34,Tim Parker,26,us USA,CB,30-240,90,40,47,85.1,831,386,9,10,90,24,28,85.7,6,8,75,0,0,0,0,3,0,0,2
34,Jake Nerwinski,2,us USA,RB,29-004,90,29,39,74.4,599,327,9,12,75,15,19,78.9,5,6,83.3,0,0,0.1,1,7,3,2,9
34,Roman Burki,1,ch SUI,GK,32-341,90,14,32,43.8,442,328,0,0,0,8,8,100,6,24,25,0,0,0,0,1,0,0,0
