Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
34,Nicholas Gioacchini,11,us USA,FW,23-088,76,3,3,1,1,1,0,0,0,0,1,0,1,0,3,0,0
34,Samuel Adeniran,16,us USA,FW,25-021,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Klauss,9,br BRA,FW,26-234,90,3,0,0,2,1,0,1,0,1,2,1,1,0,3,0,0
34,Eduard Lowen,10,de GER,AM,26-266,90,8,5,5,2,1,5,5,100,0,2,0,2,0,8,3,0
34,Aziel Jackson,25,fr FRA,AM,21-362,87,2,2,0,1,1,2,2,100,0,0,0,0,0,2,1,0
34,Celio Pompeu,12,br BRA,AM,23-315,3,1,1,1,0,0,1,2,50,1,0,0,0,0,1,1,0
34,Njabulo Blom,6,za RSA,DM,23-314,45,1,0,0,0,1,1,4,25,3,0,0,0,1,2,0,0
34,Indiana Vassilev,19,us USA,DM,22-247,45,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
34,Akil Watts,20,us USA,DM,23-259,45,1,1,0,1,0,0,1,0,1,0,0,0,1,2,2,0
34,Jared Stroud,8,us USA,DM,27-103,45,1,1,1,0,0,0,2,0,2,2,0,2,0,1,1,0
34,Anthony Markanich,13,us USA,LB,23-299,76,2,0,1,0,1,0,2,0,2,1,0,1,2,4,3,0
34,Tomas Ostrak,7,cz CZE,LB,23-258,14,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
34,Joakim Nilsson,4,se SWE,CB,29-257,90,2,2,2,0,0,1,2,50,1,4,3,1,3,5,1,0
34,Tim Parker,26,us USA,CB,30-240,90,0,0,0,0,0,0,0,0,0,2,2,0,2,2,1,0
34,Jake Nerwinski,2,us USA,RB,29-004,90,3,3,3,0,0,2,3,66.7,1,0,0,0,2,5,2,0
34,Roman Burki,1,ch SUI,GK,32-341,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
