Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
34,Nicholas Gioacchini,11,us USA,FW,23-088,76,32,0,3,12,18,3,32,6,3,50,2,33.3,13,39,19,0,1,0,1,2,24,7
34,Samuel Adeniran,16,us USA,FW,25-021,14,7,0,0,4,3,0,7,0,0,0,0,0,6,39,20,1,0,0,2,0,6,2
34,Klauss,9,br BRA,FW,26-234,90,44,2,5,15,24,7,44,5,0,0,5,100,14,79,15,0,0,1,1,2,21,7
34,Eduard Lowen,10,de GER,AM,26-266,90,69,4,15,21,34,1,69,6,3,50,2,33.3,30,152,39,1,2,0,1,3,34,2
34,Aziel Jackson,25,fr FRA,AM,21-362,87,36,1,7,14,16,5,36,4,3,75,0,0,21,138,43,1,1,0,2,1,25,5
34,Celio Pompeu,12,br BRA,AM,23-315,3,5,0,1,2,2,0,5,0,0,0,0,0,3,13,7,1,0,0,0,0,3,1
34,Njabulo Blom,6,za RSA,DM,23-314,45,21,1,3,16,2,0,21,0,0,0,0,0,6,20,6,0,0,0,0,0,12,1
34,Indiana Vassilev,19,us USA,DM,22-247,45,30,2,11,15,4,0,30,1,0,0,1,100,16,219,71,2,1,0,3,0,17,0
34,Akil Watts,20,us USA,DM,23-259,45,13,1,3,8,3,0,13,1,1,100,0,0,3,25,14,1,1,0,0,0,4,0
34,Jared Stroud,8,us USA,DM,27-103,45,32,1,5,9,18,3,32,2,1,50,1,50,15,87,15,0,0,0,0,0,19,9
34,Anthony Markanich,13,us USA,LB,23-299,76,58,2,18,27,13,1,58,1,0,0,1,100,18,61,23,1,1,0,1,0,29,4
34,Tomas Ostrak,7,cz CZE,LB,23-258,14,10,0,2,5,3,0,10,1,1,100,0,0,6,31,2,0,0,0,0,1,6,0
34,Joakim Nilsson,4,se SWE,CB,29-257,90,61,7,25,33,3,0,61,0,0,0,0,0,22,82,51,0,1,0,0,0,26,0
34,Tim Parker,26,us USA,CB,30-240,90,54,5,26,27,1,0,54,0,0,0,0,0,24,119,58,1,0,0,0,0,32,1
34,Jake Nerwinski,2,us USA,RB,29-004,90,45,3,13,20,12,1,45,0,0,0,0,0,22,79,48,0,2,0,0,0,22,5
34,Roman Burki,1,ch SUI,GK,32-341,90,35,22,34,1,0,0,35,0,0,0,0,0,16,105,61,0,0,0,0,0,15,0
