Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
21,Samuel Adeniran,16,us USA,FW,24-281,90,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
21,Nicholas Gioacchini,11,us USA,FW,22-348,66,1,1,1,0,0,0,0,0,0,2,0,2,1,2,0,0
21,Rasmus Alm,21,se SWE,FW,27-325,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Aziel Jackson,25,fr FRA,AM,21-257,81,0,0,0,0,0,0,1,0,1,2,0,2,1,1,0,0
21,Celio Pompeu,12,br BRA,AM,23-210,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0
21,Jared Stroud,8,us USA,LM,26-363,89,0,0,0,0,0,0,2,0,2,3,0,3,0,0,1,0
21,Isak Jensen,30,dk DEN,LM,19-197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Indiana Vassilev,19,us USA,RM,22-142,67,2,0,2,0,0,2,4,50,2,2,0,2,1,3,0,0
21,Miguel Perez,28,us USA,RM,18-071,23,1,1,0,0,1,1,1,100,0,0,0,0,0,1,0,0
21,Njabulo Blom,6,za RSA,DM,23-209,90,3,1,0,2,1,2,2,100,0,0,0,0,4,7,0,0
21,Kyle Hiebert,22,ca CAN,LB,25-343,90,2,2,0,1,1,1,3,33.3,2,1,0,1,1,3,6,0
21,Tim Parker,26,us USA,CB,30-135,90,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
21,Joshua Yaro,15,gh GHA,CB,28-232,90,2,2,2,0,0,0,0,0,0,2,2,0,2,4,6,0
21,Akil Watts,20,us USA,RB,23-154,66,1,1,1,0,0,1,2,50,1,0,0,0,1,2,5,0
21,Jake Nerwinski,2,us USA,RB,28-264,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
21,Roman Burki,1,ch SUI,GK,32-236,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
