Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
21,Samuel Adeniran,16,us USA,FW,24-281,90,14,14,0,0,0,0,2,0,0,0,0,0,8,0,1
21,Nicholas Gioacchini,11,us USA,FW,22-348,66,17,17,0,0,1,0,0,0,0,0,0,0,9,0,0
21,Rasmus Alm,21,se SWE,FW,27-325,24,11,8,3,0,0,0,2,0,3,2,0,0,6,0,0
21,Aziel Jackson,25,fr FRA,AM,21-257,81,22,19,3,0,1,0,2,0,2,0,2,0,17,0,0
21,Celio Pompeu,12,br BRA,AM,23-210,9,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
21,Jared Stroud,8,us USA,LM,26-363,89,33,31,1,0,0,0,6,1,0,0,0,0,17,1,5
21,Isak Jensen,30,dk DEN,LM,19-197,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Indiana Vassilev,19,us USA,RM,22-142,67,18,16,2,0,0,0,2,0,2,0,2,0,14,0,0
21,Miguel Perez,28,us USA,RM,18-071,23,15,15,0,0,0,0,0,0,0,0,0,0,8,0,1
21,Njabulo Blom,6,za RSA,DM,23-209,90,30,30,0,0,0,0,0,0,0,0,0,0,22,0,1
21,Kyle Hiebert,22,ca CAN,LB,25-343,90,54,48,6,0,0,0,2,6,0,0,0,0,38,0,1
21,Tim Parker,26,us USA,CB,30-135,90,35,29,6,6,0,0,0,0,0,0,0,0,30,0,0
21,Joshua Yaro,15,gh GHA,CB,28-232,90,28,27,1,1,0,0,0,0,0,0,0,0,20,0,0
21,Akil Watts,20,us USA,RB,23-154,66,29,20,9,1,0,0,2,8,0,0,0,0,22,0,1
21,Jake Nerwinski,2,us USA,RB,28-264,24,14,12,2,1,0,0,1,1,0,0,0,0,10,0,0
21,Roman Burki,1,ch SUI,GK,32-236,90,31,20,10,2,0,0,0,0,0,0,0,0,17,1,0
