Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
21,Samuel Adeniran,16,us USA,FW,24-281,90,8,14,57.1,121,44,3,3,100,4,7,57.1,0,0,0,0,0,0.1,0,0,2,1,2
21,Nicholas Gioacchini,11,us USA,FW,22-348,66,9,17,52.9,113,39,6,10,60,3,6,50,0,0,0,0,0.4,0,1,2,1,0,3
21,Rasmus Alm,21,se SWE,FW,27-325,24,6,11,54.5,126,34,4,6,66.7,0,0,0,2,4,50,0,0,0,1,1,0,0,0
21,Aziel Jackson,25,fr FRA,AM,21-257,81,17,22,77.3,231,62,11,13,84.6,4,5,80,1,3,33.3,0,0.2,0.1,3,0,0,0,4
21,Celio Pompeu,12,br BRA,AM,23-210,9,3,3,100,68,23,0,0,0,2,2,100,1,1,100,0,0,0,0,1,0,0,1
21,Jared Stroud,8,us USA,LM,26-363,89,17,33,51.5,288,77,9,14,64.3,6,10,60,2,3,66.7,0,0,0,0,0,0,0,1
21,Isak Jensen,30,dk DEN,LM,19-197,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
21,Indiana Vassilev,19,us USA,RM,22-142,67,14,18,77.8,247,108,7,8,87.5,5,7,71.4,2,3,66.7,0,0.1,0.1,2,4,0,0,4
21,Miguel Perez,28,us USA,RM,18-071,23,8,15,53.3,99,26,6,10,60,2,3,66.7,0,1,0,0,0,0,0,1,0,0,2
21,Njabulo Blom,6,za RSA,DM,23-209,90,22,30,73.3,387,156,8,8,100,13,18,72.2,1,2,50,0,0.1,0,1,5,0,0,2
21,Kyle Hiebert,22,ca CAN,LB,25-343,90,38,54,70.4,740,399,20,23,87,9,12,75,9,16,56.3,0,0,0,0,4,0,0,3
21,Tim Parker,26,us USA,CB,30-135,90,30,35,85.7,618,267,5,6,83.3,23,25,92,2,4,50,0,0,0,0,1,0,0,1
21,Joshua Yaro,15,gh GHA,CB,28-232,90,20,28,71.4,442,202,6,6,100,11,15,73.3,3,7,42.9,0,0,0,0,2,0,0,3
21,Akil Watts,20,us USA,RB,23-154,66,22,29,75.9,422,261,10,11,90.9,10,13,76.9,2,4,50,1,0.2,0.1,1,4,1,0,6
21,Jake Nerwinski,2,us USA,RB,28-264,24,10,14,71.4,129,95,5,7,71.4,4,5,80,0,1,0,0,0,0,1,0,1,0,2
21,Roman Burki,1,ch SUI,GK,32-236,90,17,31,54.8,453,304,2,2,100,11,11,100,4,17,23.5,0,0,0,0,1,0,0,0
