Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
21,Samuel Adeniran,16,us USA,FW,24-281,90,22,1,3,8,11,3,22,0,0,0,0,0,12,83,29,2,2,1,1,1,17,4
21,Nicholas Gioacchini,11,us USA,FW,22-348,66,24,0,2,13,11,1,24,0,0,0,0,0,10,60,21,1,1,1,2,1,18,4
21,Rasmus Alm,21,se SWE,FW,27-325,24,14,0,1,3,10,0,14,0,0,0,0,0,6,13,1,0,0,0,1,1,9,3
21,Aziel Jackson,25,fr FRA,AM,21-257,81,34,0,3,12,19,1,34,2,1,50,1,50,21,97,50,1,2,0,4,2,22,6
21,Celio Pompeu,12,br BRA,AM,23-210,9,6,0,0,2,4,1,6,1,1,100,0,0,4,39,32,1,0,1,1,0,4,0
21,Jared Stroud,8,us USA,LM,26-363,89,46,0,10,16,22,6,46,2,1,50,1,50,32,214,97,5,0,3,1,3,29,9
21,Isak Jensen,30,dk DEN,LM,19-197,1,2,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
21,Indiana Vassilev,19,us USA,RM,22-142,67,28,0,5,12,13,1,28,4,1,25,3,75,15,117,76,2,2,0,0,2,16,1
21,Miguel Perez,28,us USA,RM,18-071,23,18,0,4,7,7,1,18,0,0,0,0,0,4,14,6,0,0,0,0,0,9,1
21,Njabulo Blom,6,za RSA,DM,23-209,90,44,1,11,28,5,0,44,2,2,100,0,0,20,65,22,0,0,0,5,1,16,1
21,Kyle Hiebert,22,ca CAN,LB,25-343,90,62,4,31,22,10,0,62,0,0,0,0,0,27,96,45,0,0,0,0,0,30,1
21,Tim Parker,26,us USA,CB,30-135,90,39,4,26,11,2,2,39,0,0,0,0,0,18,42,15,0,0,0,0,0,23,0
21,Joshua Yaro,15,gh GHA,CB,28-232,90,40,6,27,11,2,0,40,0,0,0,0,0,13,50,11,0,0,0,0,0,14,1
21,Akil Watts,20,us USA,RB,23-154,66,37,3,15,16,6,0,37,0,0,0,0,0,15,54,30,0,0,0,1,0,11,1
21,Jake Nerwinski,2,us USA,RB,28-264,24,15,0,2,6,7,0,15,0,0,0,0,0,7,24,18,0,1,0,0,0,9,2
21,Roman Burki,1,ch SUI,GK,32-236,90,34,27,33,1,0,0,34,0,0,0,0,0,16,97,80,0,0,0,0,0,11,0
