Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
33,Samuel Adeniran,16,us USA,FW,25-004,62,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
33,Klauss,9,br BRA,FW,26-217,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Tomas Ostrak,7,cz CZE,LW,23-241,45,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0
33,Aziel Jackson,25,fr FRA,LW,21-345,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
33,Jared Stroud,8,us USA,RW,27-086,70,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
33,Indiana Vassilev,19,us USA,RW,22-230,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
33,Nicholas Gioacchini,11,us USA,AM,23-071,70,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0
33,Nokkvi Thorisson,29,is ISL,AM,24-052,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
33,Njabulo Blom,6,za RSA,DM,23-297,78,1,1,1,0,0,1,2,50,1,1,0,1,0,1,0,0
33,Celio Pompeu,12,br BRA,DM,23-298,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Eduard Lowen,10,de GER,DM,26-249,90,1,0,0,1,0,0,3,0,3,1,1,0,0,1,1,0
33,Anthony Markanich,13,us USA,LB,23-282,90,3,0,0,2,1,0,0,0,0,2,0,2,2,5,6,0
33,Tim Parker,26,us USA,CB,30-223,90,1,0,0,1,0,0,1,0,1,2,2,0,3,4,8,0
33,Joshua Yaro,15,gh GHA,CB,28-320,90,2,2,1,1,0,0,0,0,0,2,1,1,1,3,8,0
33,Jake Nerwinski,2,us USA,RB,28-352,90,0,0,0,0,0,0,0,0,0,2,0,2,2,2,8,0
33,Benjamin Lundt,39,de GER,GK,28-010,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
