Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
33,Samuel Adeniran,16,us USA,FW,25-004,62,6,12,50,113,15,3,5,60,2,4,50,1,1,100,0,0,0,1,0,1,1,0
33,Klauss,9,br BRA,FW,26-217,28,3,7,42.9,34,1,2,4,50,1,1,100,0,1,0,0,0,0,0,0,0,0,0
33,Tomas Ostrak,7,cz CZE,LW,23-241,45,12,17,70.6,224,25,6,7,85.7,1,2,50,3,4,75,0,0,0,0,1,0,0,1
33,Aziel Jackson,25,fr FRA,LW,21-345,45,12,13,92.3,162,45,6,6,100,6,6,100,0,0,0,0,0.1,0.1,1,1,1,0,2
33,Jared Stroud,8,us USA,RW,27-086,70,21,25,84,354,99,9,9,100,12,14,85.7,0,1,0,0,0,0,0,1,1,1,1
33,Indiana Vassilev,19,us USA,RW,22-230,20,8,9,88.9,128,26,4,4,100,2,2,100,1,1,100,0,0,0,0,0,0,0,0
33,Nicholas Gioacchini,11,us USA,AM,23-071,70,8,11,72.7,144,25,3,6,50,5,5,100,0,0,0,0,0,0,0,2,0,0,1
33,Nokkvi Thorisson,29,is ISL,AM,24-052,20,6,7,85.7,81,41,3,3,100,2,2,100,0,1,0,0,0,0,1,1,1,0,1
33,Njabulo Blom,6,za RSA,DM,23-297,78,27,31,87.1,491,205,13,16,81.3,9,9,100,5,6,83.3,0,0,0,0,3,0,0,3
33,Celio Pompeu,12,br BRA,DM,23-298,12,5,6,83.3,57,11,3,3,100,1,1,100,0,1,0,0,0,0,1,0,0,0,0
33,Eduard Lowen,10,de GER,DM,26-249,90,48,73,65.8,901,293,27,31,87.1,9,16,56.3,10,20,50,0,0,0.1,0,4,1,0,10
33,Anthony Markanich,13,us USA,LB,23-282,90,35,42,83.3,470,251,24,27,88.9,11,13,84.6,0,0,0,0,0.1,0,1,3,2,0,3
33,Tim Parker,26,us USA,CB,30-223,90,50,60,83.3,993,382,22,25,88,18,21,85.7,10,13,76.9,0,0,0,0,2,0,0,1
33,Joshua Yaro,15,gh GHA,CB,28-320,90,34,44,77.3,699,256,7,8,87.5,21,25,84,5,9,55.6,0,0,0,0,0,0,0,4
33,Jake Nerwinski,2,us USA,RB,28-352,90,38,59,64.4,540,238,24,29,82.8,11,17,64.7,3,9,33.3,0,0,0,0,3,0,0,2
33,Benjamin Lundt,39,de GER,GK,28-010,90,23,28,82.1,532,405,3,3,100,15,15,100,5,9,55.6,0,0,0,0,0,0,0,0
