Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
33,Samuel Adeniran,16,us USA,FW,25-004,62,19,1,2,10,7,1,19,1,0,0,1,100,10,55,17,1,1,0,4,0,12,2
33,Klauss,9,br BRA,FW,26-217,28,10,0,0,5,5,2,10,0,0,0,0,0,8,28,17,1,0,1,2,0,7,1
33,Tomas Ostrak,7,cz CZE,LW,23-241,45,22,2,4,11,8,0,22,0,0,0,0,0,17,75,25,1,3,0,3,0,17,3
33,Aziel Jackson,25,fr FRA,LW,21-345,45,23,1,3,5,15,5,23,0,0,0,0,0,12,79,41,2,2,1,5,0,12,6
33,Jared Stroud,8,us USA,RW,27-086,70,28,1,5,11,13,1,28,2,2,100,0,0,25,118,65,1,0,0,2,0,22,7
33,Indiana Vassilev,19,us USA,RW,22-230,20,9,0,0,5,4,0,9,0,0,0,0,0,9,31,14,0,0,0,0,1,8,0
33,Nicholas Gioacchini,11,us USA,AM,23-071,70,18,0,2,12,4,2,18,0,0,0,0,0,13,51,6,0,0,0,1,0,12,0
33,Nokkvi Thorisson,29,is ISL,AM,24-052,20,8,1,3,4,1,0,8,1,1,100,0,0,6,48,30,1,0,0,0,0,6,1
33,Njabulo Blom,6,za RSA,DM,23-297,78,39,1,11,22,6,0,39,1,0,0,1,100,33,107,29,0,0,0,2,2,31,0
33,Celio Pompeu,12,br BRA,DM,23-298,12,6,0,1,1,4,1,6,0,0,0,0,0,4,25,3,0,0,0,0,1,5,3
33,Eduard Lowen,10,de GER,DM,26-249,90,84,3,17,45,24,0,84,4,2,50,2,50,59,294,169,4,4,0,2,1,59,1
33,Anthony Markanich,13,us USA,LB,23-282,90,58,10,25,26,9,0,58,0,0,0,0,0,23,72,33,0,2,0,0,0,21,1
33,Tim Parker,26,us USA,CB,30-223,90,76,14,53,21,2,1,76,0,0,0,0,0,47,206,77,0,1,0,0,0,44,2
33,Joshua Yaro,15,gh GHA,CB,28-320,90,57,11,37,19,1,0,57,0,0,0,0,0,28,102,62,0,0,0,0,0,28,0
33,Jake Nerwinski,2,us USA,RB,28-352,90,72,8,27,29,16,0,72,2,1,50,0,0,42,146,79,1,2,0,1,0,40,2
33,Benjamin Lundt,39,de GER,GK,28-010,90,30,27,30,0,0,0,30,0,0,0,0,0,16,69,40,0,0,0,0,0,9,0
