Match ID,Player,#,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
13,Nicholas Gioacchini,11,us USA,FW,22-306,89,11,15,73.3,157,13,6,8,75,3,3,100,1,1,100,0,0,0,1,0,0,0,1
13,Jon Bell,23,us USA,FW,25-274,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Celio Pompeu,12,br BRA,LW,23-168,71,9,17,52.9,108,55,6,11,54.5,2,3,66.7,0,0,0,0,0,0,0,1,0,0,1
13,Miguel Perez,28,us USA,LW,18-029,19,3,6,50,46,2,1,2,50,2,3,66.7,0,1,0,0,0,0,0,0,0,0,0
13,Jared Stroud,8,us USA,RW,26-321,71,10,15,66.7,139,9,5,8,62.5,4,5,80,0,1,0,0,0,0,0,0,0,0,1
13,Tomas Ostrak,7,cz CZE,RW,23-111,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Indiana Vassilev,19,us USA,AM,22-100,89,22,32,68.8,383,96,10,11,90.9,9,14,64.3,2,5,40,0,0.2,0.2,3,1,4,0,5
13,Aziel Jackson,25,fr FRA,AM,21-215,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Eduard Lowen,10,de GER,DM,26-119,90,31,52,59.6,606,244,11,17,64.7,13,17,76.5,6,17,35.3,0,0,0.1,1,1,0,0,1
13,Njabulo Blom,6,za RSA,DM,23-167,90,23,28,82.1,372,144,9,11,81.8,12,15,80,1,1,100,0,0,0,1,2,0,0,2
13,Kyle Hiebert,22,ca CAN,"LB,RB",25-301,90,23,34,67.6,407,233,11,13,84.6,10,14,71.4,2,6,33.3,0,0,0,1,2,0,0,4
13,Tim Parker,26,us USA,CB,30-093,90,22,30,73.3,401,164,10,13,76.9,10,13,76.9,2,4,50,0,0,0,0,0,0,0,1
13,Lucas Bartlett,24,us USA,CB,25-305,90,20,28,71.4,421,201,8,10,80,9,11,81.8,3,7,42.9,0,0,0,0,0,0,0,3
13,Jake Nerwinski,2,us USA,RB,28-222,62,23,33,69.7,418,254,10,12,83.3,10,14,71.4,3,4,75,0,0,0,1,5,1,1,4
13,John Nelson,14,us USA,LB,24-320,28,10,17,58.8,124,39,7,8,87.5,3,4,75,0,4,0,0,0,0,0,1,0,0,1
13,Roman Burki,1,ch SUI,GK,32-194,90,22,35,62.9,614,526,2,2,100,12,13,92.3,8,20,40,0,0,0,0,0,0,0,0
