Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
13,Nicholas Gioacchini,11,us USA,FW,22-306,89,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0
13,Jon Bell,23,us USA,FW,25-274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,Celio Pompeu,12,br BRA,LW,23-168,71,1,1,0,0,1,0,2,0,2,2,0,2,0,1,0,0
13,Miguel Perez,28,us USA,LW,18-029,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0
13,Jared Stroud,8,us USA,RW,26-321,71,0,0,0,0,0,0,3,0,3,1,0,1,0,0,1,0
13,Tomas Ostrak,7,cz CZE,RW,23-111,19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
13,Indiana Vassilev,19,us USA,AM,22-100,89,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0
13,Aziel Jackson,25,fr FRA,AM,21-215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Eduard Lowen,10,de GER,DM,26-119,90,0,0,0,0,0,0,0,0,0,2,0,2,2,2,5,0
13,Njabulo Blom,6,za RSA,DM,23-167,90,5,2,2,1,2,4,5,80,1,0,0,0,3,8,2,0
13,Kyle Hiebert,22,ca CAN,"LB,RB",25-301,90,2,1,0,2,0,2,3,66.7,1,1,0,1,0,2,3,0
13,Tim Parker,26,us USA,CB,30-093,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
13,Lucas Bartlett,24,us USA,CB,25-305,90,0,0,0,0,0,0,0,0,0,2,1,1,3,3,8,0
13,Jake Nerwinski,2,us USA,RB,28-222,62,2,1,2,0,0,1,2,50,1,0,0,0,1,3,2,0
13,John Nelson,14,us USA,LB,24-320,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
13,Roman Burki,1,ch SUI,GK,32-194,90,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0
