Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
13,Nicholas Gioacchini,11,us USA,FW,22-306,89,24,0,3,12,9,2,24,0,0,0,0,0,8,10,1,0,0,0,3,1,16,3
13,Jon Bell,23,us USA,FW,25-274,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Celio Pompeu,12,br BRA,LW,23-168,71,22,0,2,8,12,4,22,2,2,100,0,0,19,153,77,4,1,3,0,1,18,4
13,Miguel Perez,28,us USA,LW,18-029,19,11,2,5,3,3,1,11,0,0,0,0,0,2,3,2,0,0,0,1,0,3,0
13,Jared Stroud,8,us USA,RW,26-321,71,26,1,3,14,9,3,26,1,0,0,1,100,17,102,55,1,1,0,1,1,18,3
13,Tomas Ostrak,7,cz CZE,RW,23-111,19,9,0,2,3,5,2,9,2,0,0,1,50,2,12,0,0,0,0,2,1,1,0
13,Indiana Vassilev,19,us USA,AM,22-100,89,41,1,3,19,20,3,41,2,2,100,0,0,23,211,133,4,4,3,2,0,28,6
13,Aziel Jackson,25,fr FRA,AM,21-215,1,1,0,0,1,1,0,1,1,0,0,0,0,1,32,31,1,1,0,0,0,0,0
13,Eduard Lowen,10,de GER,DM,26-119,90,72,4,16,35,24,3,72,3,2,66.7,1,33.3,33,185,103,3,0,1,3,3,36,3
13,Njabulo Blom,6,za RSA,DM,23-167,90,40,3,14,23,4,1,40,2,2,100,0,0,19,92,19,0,1,0,0,2,15,1
13,Kyle Hiebert,22,ca CAN,"LB,RB",25-301,90,42,2,15,18,9,1,42,1,0,0,1,100,16,133,85,3,1,0,0,1,18,2
13,Tim Parker,26,us USA,CB,30-093,90,37,7,23,13,1,0,37,0,0,0,0,0,12,47,18,0,0,0,1,0,16,0
13,Lucas Bartlett,24,us USA,CB,25-305,90,43,9,27,14,2,1,43,1,0,0,1,100,14,69,24,0,0,0,0,0,17,0
13,Jake Nerwinski,2,us USA,RB,28-222,62,39,3,14,17,9,0,39,2,1,50,0,0,16,153,91,2,1,0,2,0,18,2
13,John Nelson,14,us USA,LB,24-320,28,19,0,4,12,4,0,19,0,0,0,0,0,9,66,43,0,0,0,0,1,11,0
13,Roman Burki,1,ch SUI,GK,32-194,90,35,31,35,0,0,0,35,0,0,0,0,0,20,75,48,0,0,0,0,0,12,0
